,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
460000,02/07/2019 12:15:00 PM,300,0.7,32,32,"Taxicab Insurance Agency, LLC"
460001,02/07/2019 12:15:00 PM,300,0.7,32,32,Taxi Affiliation Services
460002,02/07/2019 12:15:00 PM,480,1.7,32,28,"Taxicab Insurance Agency, LLC"
460003,02/07/2019 12:15:00 PM,540,1.4,28,8,3094 - 24059 G.L.B. Cab Co
460004,02/07/2019 12:15:00 PM,300,0.9,8,8,Chicago Medallion Management
460005,02/07/2019 12:15:00 PM,420,1.4,32,28,Choice Taxi Association
460006,02/07/2019 12:15:00 PM,480,0.6,8,8,Star North Management LLC
460007,02/07/2019 12:15:00 PM,540,1.0,8,8,Chicago Medallion Management
460008,02/07/2019 12:15:00 PM,420,0.6,32,32,Star North Management LLC
460009,02/07/2019 12:15:00 PM,420,1.3,8,32,Taxi Affiliation Services
460010,02/07/2019 12:15:00 PM,480,1.6,28,32,Choice Taxi Association
460011,02/07/2019 12:15:00 PM,420,1.3,32,8,Taxi Affiliation Services
460012,02/07/2019 12:15:00 PM,540,1.1,8,8,Star North Management LLC
460013,02/07/2019 12:15:00 PM,240,0.7,32,32,Taxi Affiliation Services
460014,02/07/2019 12:15:00 PM,300,0.8,32,28,Choice Taxi Association
460015,02/07/2019 12:15:00 PM,360,1.4,32,33,Star North Management LLC
460016,02/07/2019 12:15:00 PM,1860,1.1,76,32,Blue Ribbon Taxi Association Inc.
460017,02/07/2019 12:15:00 PM,240,0.6,32,32,KOAM Taxi Association
460018,02/07/2019 12:15:00 PM,300,0.7,32,32,Star North Management LLC
460019,02/07/2019 12:15:00 PM,2160,1.9,56,76,Taxi Affiliation Services
460020,02/07/2019 12:15:00 PM,420,1.5,28,28,"Taxicab Insurance Agency, LLC"
460021,02/07/2019 12:15:00 PM,540,1.1,32,8,Taxi Affiliation Services
460022,02/07/2019 12:15:00 PM,540,1.5,8,32,KOAM Taxi Association
460023,02/07/2019 12:15:00 PM,540,1.0,28,32,Taxi Affiliation Services
460024,02/07/2019 12:15:00 PM,300,1.0,8,8,Taxi Affiliation Services
460025,02/07/2019 12:15:00 PM,360,0.9,32,32,Star North Management LLC
460026,02/07/2019 12:15:00 PM,360,0.8,32,8,Taxi Affiliation Services
460027,02/07/2019 12:15:00 PM,360,1.6,32,33,Taxi Affiliation Services
460028,02/07/2019 12:15:00 PM,300,0.6,8,8,Star North Management LLC
460029,02/07/2019 12:15:00 PM,480,0.9,8,32,Star North Management LLC
460030,02/07/2019 12:15:00 PM,300,0.8,8,32,Star North Management LLC
460031,02/07/2019 12:15:00 PM,240,0.7,32,32,Taxi Affiliation Services
460032,02/07/2019 12:15:00 PM,240,0.6,32,8,Choice Taxi Association
460033,02/07/2019 12:15:00 PM,540,1.3,32,32,"Taxicab Insurance Agency, LLC"
460034,02/07/2019 12:15:00 PM,540,1.5,28,8,Star North Management LLC
460035,02/07/2019 12:15:00 PM,2340,0.9,3,76,Taxi Affiliation Services
460036,02/07/2019 12:15:00 PM,420,0.8,28,24,Taxi Affiliation Services
460037,02/07/2019 12:15:00 PM,240,0.7,8,8,Star North Management LLC
460038,02/07/2019 12:15:00 PM,420,1.6,38,61,Taxi Affiliation Services
460039,02/07/2019 12:15:00 PM,360,0.6,28,32,Chicago Medallion Management
460040,02/07/2019 12:15:00 PM,300,1.1,32,33,Top Cab Affiliation
460041,02/07/2019 12:15:00 PM,420,1.1,32,8,Choice Taxi Association
460042,02/07/2019 12:15:00 PM,540,1.6,8,28,Taxi Affiliation Services
460043,02/07/2019 12:15:00 PM,300,1.1,32,28,Taxi Affiliation Services
460044,02/07/2019 12:15:00 PM,540,1.5,24,28,Taxi Affiliation Services
460045,02/07/2019 12:15:00 PM,420,0.8,28,32,Star North Management LLC
460046,02/07/2019 12:15:00 PM,420,1.0,32,28,Taxi Affiliation Services
460047,02/07/2019 12:15:00 PM,240,0.7,32,32,Star North Management LLC
460048,02/07/2019 12:15:00 PM,360,1.2,8,32,Choice Taxi Association
460049,02/07/2019 12:15:00 PM,420,0.7,8,8,Taxi Affiliation Services
460050,02/07/2019 12:15:00 PM,540,1.0,8,8,Choice Taxi Association
460051,02/07/2019 12:15:00 PM,420,1.2,8,8,Taxi Affiliation Services
460052,02/07/2019 12:15:00 PM,540,1.6,32,28,Taxi Affiliation Services
460053,02/07/2019 12:15:00 PM,540,1.6,32,8,Taxi Affiliation Services
460054,02/07/2019 12:15:00 PM,360,1.3,32,8,Taxi Affiliation Services
460055,02/07/2019 12:15:00 PM,240,1.0,32,8,Star North Management LLC
460056,02/07/2019 12:15:00 PM,420,0.8,8,32,Taxi Affiliation Services
460057,02/07/2019 12:15:00 PM,360,0.8,8,32,Star North Management LLC
460058,02/07/2019 12:15:00 PM,480,1.5,32,8,Taxi Affiliation Services
460059,02/07/2019 12:15:00 PM,300,0.8,32,32,Star North Management LLC
460060,02/07/2019 12:15:00 PM,240,0.6,28,32,Top Cab Affiliation
460061,02/07/2019 12:15:00 PM,420,0.9,32,32,Taxi Affiliation Services
460062,02/07/2019 12:15:00 PM,480,1.2,32,8,Choice Taxi Association
460063,02/07/2019 12:15:00 PM,412,0.76,28,32,Flash Cab
460064,02/07/2019 12:15:00 PM,325,0.74,8,8,Globe Taxi
460065,02/07/2019 12:15:00 PM,240,0.6,32,28,Medallion Leasin
460066,02/07/2019 12:15:00 PM,387,0.91,32,8,Taxi Affiliation Service Yellow
460067,02/07/2019 12:15:00 PM,422,0.91,8,8,Chicago Carriage Cab Corp
460068,02/07/2019 12:15:00 PM,517,1.2,32,8,Taxi Affiliation Service Yellow
460069,02/07/2019 12:15:00 PM,396,0.91,32,32,Chicago Carriage Cab Corp
460070,02/07/2019 12:15:00 PM,500,1.11,32,28,Flash Cab
460071,02/07/2019 12:15:00 PM,403,1.1,8,8,City Service
460072,02/07/2019 12:15:00 PM,402,1.12,32,8,Chicago Carriage Cab Corp
460073,02/07/2019 12:15:00 PM,327,0.62,8,8,Globe Taxi
460074,02/07/2019 12:15:00 PM,412,1.15,8,32,Chicago Carriage Cab Corp
460075,02/07/2019 12:15:00 PM,463,1.02,8,8,Taxi Affiliation Service Yellow
460076,02/07/2019 12:15:00 PM,264,0.74,32,8,Nova Taxi Affiliation Llc
460077,02/07/2019 12:15:00 PM,531,1.63,8,33,Chicago Carriage Cab Corp
460078,02/07/2019 12:15:00 PM,390,1.05,28,32,Chicago Carriage Cab Corp
