,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
480000,02/08/2019 01:30:00 PM,519,0.6,32,32,Medallion Leasin
480001,02/08/2019 01:30:00 PM,493,1.3,32,8,City Service
480002,02/08/2019 01:30:00 PM,507,1.43,8,32,City Service
480003,02/08/2019 01:30:00 PM,300,1.0,32,8,Sun Taxi
480004,02/08/2019 01:30:00 PM,480,1.0,32,32,Medallion Leasin
480005,02/08/2019 01:30:00 PM,480,1.2,32,8,24 Seven Taxi
480006,02/08/2019 01:30:00 PM,340,1.14,8,8,Chicago Carriage Cab Corp
480007,02/08/2019 01:30:00 PM,518,1.03,32,28,Blue Diamond
480008,02/08/2019 01:30:00 PM,287,0.76,8,32,Chicago Carriage Cab Corp
480009,02/08/2019 01:30:00 PM,300,0.8,8,8,Medallion Leasin
480010,02/08/2019 01:30:00 PM,291,0.79,32,8,City Service
480011,02/08/2019 01:30:00 PM,312,0.74,8,32,Flash Cab
480012,02/08/2019 01:30:00 PM,360,0.9,32,8,Sun Taxi
480013,02/08/2019 01:30:00 PM,414,0.91,8,8,Chicago Carriage Cab Corp
480014,02/08/2019 01:30:00 PM,184,0.67,28,28,Nova Taxi Affiliation Llc
480015,02/08/2019 01:30:00 PM,240,1.1,8,32,Medallion Leasin
480016,02/08/2019 01:30:00 PM,292,0.66,8,8,City Service
480017,02/08/2019 01:30:00 PM,239,0.72,8,8,Chicago Carriage Cab Corp
480018,02/08/2019 01:30:00 PM,580,1.31,8,8,City Service
480019,02/08/2019 01:30:00 PM,202,0.55,8,8,Chicago Carriage Cab Corp
480020,02/08/2019 01:30:00 PM,513,1.28,32,32,Chicago Carriage Cab Corp
480021,02/08/2019 01:30:00 PM,385,0.8,8,32,Taxi Affiliation Service Yellow
480022,02/08/2019 01:30:00 PM,570,1.85,32,8,Flash Cab
480023,02/08/2019 01:30:00 PM,246,0.94,4,4,Flash Cab
480024,02/08/2019 01:30:00 PM,281,0.77,8,8,Chicago Carriage Cab Corp
480025,02/08/2019 01:30:00 PM,516,1.08,32,8,Chicago Carriage Cab Corp
