,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
40000,01/04/2019 05:30:00 PM,409,1.17,32,28,Sun Taxi
40001,01/04/2019 05:30:00 PM,540,1.1,8,32,City Service
40002,01/04/2019 05:30:00 PM,413,1.2,32,8,Chicago Carriage Cab Corp
40003,01/04/2019 05:30:00 PM,480,0.9,32,8,Globe Taxi
40004,01/04/2019 05:30:00 PM,240,0.8,32,8,Chicago Independents
40005,01/04/2019 05:30:00 PM,403,1.02,32,32,Chicago Carriage Cab Corp
40006,01/04/2019 05:30:00 PM,273,0.83,28,32,Flash Cab
40007,01/04/2019 05:30:00 PM,432,1.1,32,8,City Service
40008,01/04/2019 05:30:00 PM,484,0.69,32,32,Flash Cab
40009,01/04/2019 05:30:00 PM,480,0.8,8,32,Sun Taxi
40010,01/04/2019 05:30:00 PM,241,0.67,8,8,City Service
40011,01/04/2019 05:30:00 PM,426,1.34,32,28,Patriot Taxi Dba Peace Taxi Associat
40012,01/04/2019 05:30:00 PM,433,0.9,28,32,Medallion Leasin
40013,01/04/2019 05:30:00 PM,460,1.4,7,8,City Service
40014,01/04/2019 05:30:00 PM,553,1.82,28,8,Sun Taxi
40015,01/04/2019 05:30:00 PM,335,0.93,8,32,City Service
40016,01/04/2019 05:30:00 PM,547,1.26,32,28,Chicago Carriage Cab Corp
40017,01/04/2019 05:30:00 PM,312,0.61,32,32,Sun Taxi
40018,01/04/2019 05:30:00 PM,540,1.9,6,3,Globe Taxi
40019,01/04/2019 05:30:00 PM,540,1.1,8,8,Chicago Independents
40020,01/04/2019 05:30:00 PM,426,0.87,8,8,Chicago Carriage Cab Corp
40021,01/04/2019 05:30:00 PM,390,0.6,32,32,Sun Taxi
40022,01/04/2019 05:30:00 PM,402,1.62,28,28,Patriot Taxi Dba Peace Taxi Associat
40023,01/04/2019 05:30:00 PM,480,1.2,32,32,Globe Taxi
40024,01/04/2019 05:30:00 PM,589,1.3,32,33,City Service
40025,01/04/2019 05:30:00 PM,545,1.2,32,24,Blue Diamond
40026,01/04/2019 05:30:00 PM,271,0.72,32,32,Flash Cab
40027,01/04/2019 05:30:00 PM,480,0.9,32,32,Sun Taxi
40028,01/04/2019 05:30:00 PM,538,0.94,32,8,City Service
40029,01/04/2019 05:30:00 PM,547,1.2,8,24,Taxi Affiliation Service Yellow
40030,01/04/2019 05:30:00 PM,389,0.85,32,28,Chicago Carriage Cab Corp
40031,01/04/2019 05:30:00 PM,303,0.6,32,8,City Service
40032,01/04/2019 05:30:00 PM,562,1.18,8,32,Chicago Carriage Cab Corp
40033,01/04/2019 05:30:00 PM,469,1.1,32,32,Chicago Carriage Cab Corp
40034,01/04/2019 05:30:00 PM,400,0.96,32,8,Chicago Carriage Cab Corp
40035,01/04/2019 05:30:00 PM,300,0.7,32,32,Metro Jet Taxi A
40036,01/04/2019 05:30:00 PM,484,1.15,32,8,Nova Taxi Affiliation Llc
40037,01/04/2019 05:30:00 PM,476,1.03,32,8,City Service
40038,01/04/2019 05:30:00 PM,360,0.9,32,8,Globe Taxi
40039,01/04/2019 05:30:00 PM,480,1.0,8,8,Chicago Independents
40040,01/04/2019 05:30:00 PM,209,0.56,32,32,Nova Taxi Affiliation Llc
40041,01/04/2019 05:30:00 PM,307,0.72,32,8,City Service
40042,01/04/2019 05:30:00 PM,544,1.0,28,8,Globe Taxi
40043,01/04/2019 05:30:00 PM,290,0.6,28,32,Medallion Leasin
40044,01/04/2019 05:30:00 PM,540,1.3,32,32,24 Seven Taxi
40045,01/04/2019 05:30:00 PM,394,0.61,32,32,Taxi Affiliation Service Yellow
40046,01/04/2019 05:30:00 PM,469,1.02,8,32,Sun Taxi
40047,01/04/2019 05:30:00 PM,371,1.84,28,8,Flash Cab
40048,01/04/2019 05:30:00 PM,555,1.26,8,8,Taxi Affiliation Service Yellow
40049,01/04/2019 05:30:00 PM,416,1.4,32,32,City Service
40050,01/04/2019 05:30:00 PM,222,0.62,8,8,Taxi Affiliation Service Yellow
40051,01/04/2019 05:30:00 PM,360,1.1,8,8,Globe Taxi
40052,01/04/2019 05:30:00 PM,577,1.05,8,32,Sun Taxi
40053,01/04/2019 05:30:00 PM,348,0.6,32,28,Taxi Affiliation Service Yellow
40054,01/04/2019 05:30:00 PM,583,1.32,7,7,Flash Cab
40055,01/04/2019 05:30:00 PM,545,0.9,8,8,Checker Taxi Affiliation
40056,01/04/2019 05:30:00 PM,480,1.1,32,28,Medallion Leasin
40057,01/04/2019 05:30:00 PM,469,1.0,32,8,American United Taxi Affiliation
40058,01/04/2019 05:30:00 PM,445,0.8,8,8,City Service
40059,01/04/2019 05:30:00 PM,492,1.1,32,8,Taxi Affiliation Service Yellow
40060,01/04/2019 05:30:00 PM,592,1.23,32,8,Chicago Carriage Cab Corp
40061,01/04/2019 05:30:00 PM,360,0.8,32,8,Globe Taxi
40062,01/04/2019 05:30:00 PM,300,0.6,32,32,Sun Taxi
40063,01/04/2019 05:30:00 PM,420,1.1,8,28,Medallion Leasin
40064,01/04/2019 05:30:00 PM,300,0.6,8,8,Medallion Leasin
40065,01/04/2019 05:30:00 PM,480,1.1,32,28,Sun Taxi
40066,01/04/2019 05:30:00 PM,588,1.78,32,8,Chicago Carriage Cab Corp
40067,01/04/2019 05:30:00 PM,421,0.84,32,8,Chicago Carriage Cab Corp
40068,01/04/2019 05:30:00 PM,393,1.02,8,32,Chicago Carriage Cab Corp
40069,01/04/2019 05:30:00 PM,240,0.7,24,28,Medallion Leasin
40070,01/04/2019 05:30:00 PM,408,0.75,32,8,Chicago Carriage Cab Corp
40071,01/04/2019 05:30:00 PM,480,1.07,32,8,Nova Taxi Affiliation Llc
