,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
500000,02/10/2019 12:15:00 AM,264,0.62,8,8,Flash Cab
500001,02/10/2019 12:15:00 AM,370,1.8,7,24,Medallion Leasin
500002,02/10/2019 12:15:00 AM,571,1.68,8,7,Flash Cab
500003,02/10/2019 12:15:00 AM,233,1.15,28,28,Chicago Carriage Cab Corp
500004,02/10/2019 12:15:00 AM,532,1.73,7,22,Sun Taxi
500005,02/10/2019 12:15:00 AM,264,0.83,28,32,Chicago Carriage Cab Corp
500006,02/10/2019 12:15:00 AM,498,1.16,8,32,Flash Cab
500007,02/10/2019 12:15:00 AM,454,1.32,8,8,Flash Cab
500008,02/10/2019 12:15:00 AM,555,1.3,8,8,Medallion Leasin
500009,02/10/2019 12:15:00 AM,319,1.34,28,24,Sun Taxi
500010,02/10/2019 12:15:00 AM,336,1.18,32,8,24 Seven Taxi
500011,02/10/2019 12:15:00 AM,438,1.5,7,8,Medallion Leasin
500012,02/10/2019 12:15:00 AM,559,1.87,8,28,Chicago Carriage Cab Corp
500013,02/10/2019 12:15:00 AM,292,1.05,8,8,Sun Taxi
500014,02/10/2019 12:15:00 AM,400,0.67,8,8,Chicago Carriage Cab Corp
500015,02/10/2019 12:15:00 AM,480,1.8,32,32,City Service
500016,02/10/2019 12:15:00 AM,420,1.1,8,8,Medallion Leasin
500017,02/10/2019 12:15:00 AM,294,0.97,28,8,City Service
500018,02/10/2019 12:15:00 AM,369,1.2,32,8,City Service
500019,02/10/2019 12:15:00 AM,420,1.3,7,7,24 Seven Taxi
500020,02/10/2019 12:15:00 AM,522,1.47,28,8,Chicago Carriage Cab Corp
500021,02/10/2019 12:15:00 AM,420,1.3,8,8,Medallion Leasin
500022,02/10/2019 12:15:00 AM,574,1.41,8,8,Nova Taxi Affiliation Llc
500023,02/10/2019 12:15:00 AM,300,0.8,8,32,City Service
500024,02/10/2019 12:15:00 AM,576,1.63,8,8,Flash Cab
500025,02/10/2019 12:15:00 AM,445,1.31,6,7,Chicago Carriage Cab Corp
500026,02/10/2019 12:15:00 AM,246,1.07,7,7,Chicago Carriage Cab Corp
500027,02/10/2019 12:15:00 AM,395,1.19,8,8,Chicago Carriage Cab Corp
500028,02/10/2019 12:15:00 AM,318,1.25,8,8,Chicago Carriage Cab Corp
500029,02/10/2019 12:15:00 AM,266,1.23,8,32,City Service
500030,02/10/2019 12:15:00 AM,589,1.44,8,8,City Service
500031,02/10/2019 12:15:00 AM,328,0.8,8,8,Medallion Leasin
500032,02/10/2019 12:15:00 AM,408,1.24,8,8,Globe Taxi
500033,02/10/2019 12:15:00 AM,309,0.52,6,6,Flash Cab
500034,02/10/2019 12:15:00 AM,360,0.9,8,32,Globe Taxi
500035,02/10/2019 12:15:00 AM,426,1.17,8,32,Chicago Carriage Cab Corp
500036,02/10/2019 12:15:00 AM,403,1.0,8,8,Flash Cab
500037,02/10/2019 12:15:00 AM,267,0.99,28,28,Flash Cab
500038,02/10/2019 12:15:00 AM,497,1.84,24,24,Flash Cab
