,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
540000,02/13/2019 08:15:00 AM,240,0.7,8,32,Choice Taxi Association
540001,02/13/2019 08:15:00 AM,300,0.7,32,32,Star North Management LLC
540002,02/13/2019 08:15:00 AM,420,1.9,28,33,Choice Taxi Association
540003,02/13/2019 08:15:00 AM,420,1.0,32,32,Star North Management LLC
540004,02/13/2019 08:15:00 AM,480,1.5,32,32,Star North Management LLC
540005,02/13/2019 08:15:00 AM,508,1.0,32,32,Taxi Affiliation Service Yellow
540006,02/13/2019 08:15:00 AM,254,0.63,28,28,Taxi Affiliation Service Yellow
540007,02/13/2019 08:15:00 AM,546,0.9,28,32,Medallion Leasin
540008,02/13/2019 08:15:00 AM,210,0.65,32,8,Taxi Affiliation Service Yellow
540009,02/13/2019 08:15:00 AM,2520,10.9,56,32,Flash Cab
540010,02/13/2019 08:15:00 AM,360,0.7,32,32,Nova Taxi Affiliation Llc
540011,02/13/2019 08:15:00 AM,408,0.87,32,32,Taxi Affiliation Service Yellow
540012,02/13/2019 08:15:00 AM,300,0.7,28,32,24 Seven Taxi
540013,02/13/2019 08:15:00 AM,558,0.9,32,28,Taxi Affiliation Service Yellow
540014,02/13/2019 08:15:00 AM,253,0.7,8,8,Globe Taxi
540015,02/13/2019 08:15:00 AM,552,0.96,28,32,City Service
540016,02/13/2019 08:15:00 AM,330,0.84,32,32,Chicago Carriage Cab Corp
540017,02/13/2019 08:15:00 AM,481,0.7,28,8,Blue Diamond
540018,02/13/2019 08:15:00 AM,522,1.54,8,8,Checker Taxi Affiliation
540019,02/13/2019 08:15:00 AM,472,1.05,32,28,Flash Cab
540020,02/13/2019 08:15:00 AM,341,0.6,8,8,Taxi Affiliation Service Yellow
540021,02/13/2019 08:15:00 AM,420,0.6,8,28,Blue Diamond
540022,02/13/2019 08:15:00 AM,495,1.36,8,32,Sun Taxi
540023,02/13/2019 08:15:00 AM,435,1.18,32,8,City Service
540024,02/13/2019 08:15:00 AM,300,0.9,28,32,Medallion Leasin
540025,02/13/2019 08:15:00 AM,391,1.57,32,28,Chicago Carriage Cab Corp
540026,02/13/2019 08:15:00 AM,378,1.17,28,32,Sun Taxi
540027,02/13/2019 08:15:00 AM,440,1.02,28,32,Flash Cab
540028,02/13/2019 08:15:00 AM,395,0.97,28,32,Nova Taxi Affiliation Llc
540029,02/13/2019 08:15:00 AM,424,0.65,8,32,Flash Cab
540030,02/13/2019 08:15:00 AM,505,0.6,28,8,Blue Diamond
540031,02/13/2019 08:15:00 AM,440,1.1,8,8,City Service
540032,02/13/2019 08:15:00 AM,300,0.65,32,32,Nova Taxi Affiliation Llc
540033,02/13/2019 08:15:00 AM,425,0.9,32,8,Taxi Affiliation Service Yellow
540034,02/13/2019 08:15:00 AM,343,0.62,28,32,Sun Taxi
540035,02/13/2019 08:15:00 AM,358,0.54,32,32,Sun Taxi
540036,02/13/2019 08:15:00 AM,332,1.0,28,32,City Service
540037,02/13/2019 08:15:00 AM,524,0.8,32,32,Taxi Affiliation Service Yellow
540038,02/13/2019 08:15:00 AM,580,0.67,32,32,Sun Taxi
540039,02/13/2019 08:15:00 AM,241,0.9,8,8,Globe Taxi
540040,02/13/2019 08:15:00 AM,540,1.1,32,28,Globe Taxi
540041,02/13/2019 08:15:00 AM,540,1.3,28,32,Globe Taxi
540042,02/13/2019 08:15:00 AM,396,1.0,28,32,Taxi Affiliation Service Yellow
540043,02/13/2019 08:15:00 AM,571,1.06,8,32,Blue Diamond
540044,02/13/2019 08:15:00 AM,565,1.21,28,8,Chicago Carriage Cab Corp
540045,02/13/2019 08:15:00 AM,480,1.0,28,32,Sun Taxi
540046,02/13/2019 08:15:00 AM,525,0.84,28,32,Chicago Carriage Cab Corp
540047,02/13/2019 08:15:00 AM,340,0.88,32,8,Chicago Carriage Cab Corp
540048,02/13/2019 08:15:00 AM,361,1.05,28,32,Patriot Taxi Dba Peace Taxi Associat
540049,02/13/2019 08:15:00 AM,325,0.79,8,32,Chicago Carriage Cab Corp
540050,02/13/2019 08:15:00 AM,373,1.01,28,32,City Service
540051,02/13/2019 08:15:00 AM,503,1.06,32,8,City Service
540052,02/13/2019 08:15:00 AM,352,1.16,8,32,Sun Taxi
540053,02/13/2019 08:15:00 AM,540,1.1,32,28,Globe Taxi
540054,02/13/2019 08:15:00 AM,387,0.62,32,32,Chicago Carriage Cab Corp
540055,02/13/2019 08:15:00 AM,316,0.67,28,32,Flash Cab
540056,02/13/2019 08:15:00 AM,265,0.7,32,32,Chicago Taxicab
540057,02/13/2019 08:15:00 AM,285,0.67,28,32,24 Seven Taxi
540058,02/13/2019 08:15:00 AM,404,0.9,8,8,Medallion Leasin
540059,02/13/2019 08:15:00 AM,530,1.39,8,8,Sun Taxi
540060,02/13/2019 08:15:00 AM,412,0.88,32,32,Patriot Taxi Dba Peace Taxi Associat
540061,02/13/2019 08:15:00 AM,287,0.76,8,28,Chicago Carriage Cab Corp
540062,02/13/2019 08:15:00 AM,386,1.26,32,8,Chicago Carriage Cab Corp
540063,02/13/2019 08:15:00 AM,282,0.89,32,28,Chicago Carriage Cab Corp
540064,02/13/2019 08:15:00 AM,252,0.59,28,32,Chicago Carriage Cab Corp
540065,02/13/2019 08:15:00 AM,454,0.9,8,8,City Service
540066,02/13/2019 08:15:00 AM,191,0.69,28,28,Chicago Carriage Cab Corp
540067,02/13/2019 08:15:00 AM,226,0.81,8,32,Chicago Carriage Cab Corp
540068,02/13/2019 08:15:00 AM,383,1.1,28,32,Chicago Taxicab
540069,02/13/2019 08:15:00 AM,521,0.61,28,32,City Service
540070,02/13/2019 08:15:00 AM,540,1.2,8,32,City Service
540071,02/13/2019 08:15:00 AM,446,0.59,32,8,Chicago Carriage Cab Corp
540072,02/13/2019 08:15:00 AM,293,0.8,8,32,Medallion Leasin
540073,02/13/2019 08:15:00 AM,229,0.51,32,32,Chicago Carriage Cab Corp
540074,02/13/2019 08:15:00 AM,360,0.9,32,8,Globe Taxi
540075,02/13/2019 08:15:00 AM,462,1.38,28,8,Chicago Carriage Cab Corp
540076,02/13/2019 08:15:00 AM,360,0.7,32,32,Chicago Independents
540077,02/13/2019 08:15:00 AM,480,1.0,28,8,Medallion Leasin
540078,02/13/2019 08:15:00 AM,377,0.67,32,8,Chicago Carriage Cab Corp
540079,02/13/2019 08:15:00 AM,342,1.1,8,8,Globe Taxi
540080,02/13/2019 08:15:00 AM,470,1.41,28,32,Flash Cab
540081,02/13/2019 08:15:00 AM,363,0.72,32,32,City Service
540082,02/13/2019 08:15:00 AM,475,0.89,32,28,Sun Taxi
540083,02/13/2019 08:15:00 AM,548,1.08,32,8,City Service
540084,02/13/2019 08:15:00 AM,375,1.11,8,32,Flash Cab
540085,02/13/2019 08:15:00 AM,430,0.55,28,32,Sun Taxi
540086,02/13/2019 08:15:00 AM,420,1.1,8,32,Medallion Leasin
540087,02/13/2019 08:15:00 AM,540,1.0,32,28,Medallion Leasin
540088,02/13/2019 08:15:00 AM,550,0.93,32,28,Chicago Carriage Cab Corp
540089,02/13/2019 08:15:00 AM,503,0.68,32,32,Patriot Taxi Dba Peace Taxi Associat
540090,02/13/2019 08:15:00 AM,574,1.43,28,8,Sun Taxi
540091,02/13/2019 08:15:00 AM,540,1.0,4,4,Chicago Independents
540092,02/13/2019 08:15:00 AM,535,0.9,8,8,Medallion Leasin
540093,02/13/2019 08:15:00 AM,513,0.65,28,32,Sun Taxi
540094,02/13/2019 08:15:00 AM,474,0.7,28,32,Medallion Leasin
540095,02/13/2019 08:15:00 AM,591,0.94,28,8,Flash Cab
540096,02/13/2019 08:15:00 AM,529,1.54,8,24,Chicago Carriage Cab Corp
540097,02/13/2019 08:15:00 AM,519,1.07,32,28,Flash Cab
540098,02/13/2019 08:15:00 AM,329,0.7,8,8,City Service
540099,02/13/2019 08:15:00 AM,258,0.83,28,28,Chicago Carriage Cab Corp
540100,02/13/2019 08:15:00 AM,422,1.23,32,32,City Service
540101,02/13/2019 08:15:00 AM,300,0.8,32,32,Medallion Leasin
540102,02/13/2019 08:15:00 AM,545,1.22,32,28,Chicago Carriage Cab Corp
540103,02/13/2019 08:15:00 AM,304,0.68,28,32,Chicago Carriage Cab Corp
540104,02/13/2019 08:15:00 AM,394,1.03,8,32,City Service
540105,02/13/2019 08:15:00 AM,540,1.3,32,32,Medallion Leasin
540106,02/13/2019 08:15:00 AM,589,1.1,8,32,Medallion Leasin
540107,02/13/2019 08:15:00 AM,317,0.71,28,32,Sun Taxi
540108,02/13/2019 08:15:00 AM,544,1.1,28,8,City Service
540109,02/13/2019 08:15:00 AM,473,1.01,8,32,Chicago Carriage Cab Corp
540110,02/13/2019 08:15:00 AM,411,1.07,32,28,Chicago Carriage Cab Corp
540111,02/13/2019 08:15:00 AM,523,0.98,32,8,24 Seven Taxi
540112,02/13/2019 08:15:00 AM,593,0.66,32,28,Flash Cab
540113,02/13/2019 08:15:00 AM,480,1.6,28,32,Medallion Leasin
540114,02/13/2019 08:15:00 AM,504,1.21,32,8,City Service
540115,02/13/2019 08:15:00 AM,248,0.59,28,28,Patriot Taxi Dba Peace Taxi Associat
540116,02/13/2019 08:15:00 AM,296,0.56,32,28,Sun Taxi
540117,02/13/2019 08:15:00 AM,595,1.46,8,32,Sun Taxi
540118,02/13/2019 08:15:00 AM,380,0.87,32,32,Chicago Carriage Cab Corp
540119,02/13/2019 08:15:00 AM,225,0.56,32,32,City Service
540120,02/13/2019 08:15:00 AM,512,1.04,8,32,Flash Cab
540121,02/13/2019 08:15:00 AM,526,1.13,8,32,Nova Taxi Affiliation Llc
540122,02/13/2019 08:15:00 AM,359,0.78,28,32,Chicago Carriage Cab Corp
540123,02/13/2019 08:15:00 AM,346,0.54,8,8,Flash Cab
540124,02/13/2019 08:15:00 AM,529,0.84,28,28,Chicago Carriage Cab Corp
540125,02/13/2019 08:15:00 AM,449,0.9,8,32,Chicago Carriage Cab Corp
540126,02/13/2019 08:15:00 AM,489,1.2,28,32,Nova Taxi Affiliation Llc
540127,02/13/2019 08:15:00 AM,440,1.43,28,32,Chicago Carriage Cab Corp
540128,02/13/2019 08:15:00 AM,394,0.8,32,8,Medallion Leasin
540129,02/13/2019 08:15:00 AM,491,1.25,8,8,Chicago Carriage Cab Corp
540130,02/13/2019 08:15:00 AM,505,0.81,8,8,Nova Taxi Affiliation Llc
540131,02/13/2019 08:15:00 AM,351,1.28,28,32,Chicago Carriage Cab Corp
540132,02/13/2019 08:15:00 AM,341,0.87,32,8,Sun Taxi
540133,02/13/2019 08:15:00 AM,568,1.1,32,32,Flash Cab
540134,02/13/2019 08:15:00 AM,245,0.6,28,28,Medallion Leasin
540135,02/13/2019 08:15:00 AM,531,1.9,56,56,Gold Coast Taxi
540136,02/13/2019 08:15:00 AM,503,1.04,8,32,Sun Taxi
540137,02/13/2019 08:15:00 AM,284,0.66,8,32,Flash Cab
540138,02/13/2019 08:15:00 AM,429,0.78,32,28,Chicago Carriage Cab Corp
540139,02/13/2019 08:15:00 AM,354,0.85,32,32,Chicago Carriage Cab Corp
540140,02/13/2019 08:15:00 AM,478,0.9,28,32,Chicago Carriage Cab Corp
540141,02/13/2019 08:15:00 AM,518,0.9,28,32,Medallion Leasin
540142,02/13/2019 08:15:00 AM,482,1.3,8,32,Flash Cab
540143,02/13/2019 08:15:00 AM,420,1.2,32,32,Medallion Leasin
540144,02/13/2019 08:15:00 AM,484,0.87,8,32,Sun Taxi
540145,02/13/2019 08:15:00 AM,402,0.78,28,32,Nova Taxi Affiliation Llc
540146,02/13/2019 08:15:00 AM,466,0.93,8,8,Chicago Carriage Cab Corp
540147,02/13/2019 08:15:00 AM,420,1.45,28,28,Patriot Taxi Dba Peace Taxi Associat
540148,02/13/2019 08:15:00 AM,407,0.61,28,32,Sun Taxi
540149,02/13/2019 08:15:00 AM,320,0.93,32,32,Chicago Carriage Cab Corp
540150,02/13/2019 08:15:00 AM,383,0.54,8,32,Flash Cab
540151,02/13/2019 08:15:00 AM,267,0.7,28,28,Medallion Leasin
540152,02/13/2019 08:15:00 AM,328,0.61,28,32,Chicago Carriage Cab Corp
540153,02/13/2019 08:15:00 AM,518,0.68,28,32,Chicago Carriage Cab Corp
540154,02/13/2019 08:15:00 AM,578,0.97,28,32,Chicago Carriage Cab Corp
540155,02/13/2019 08:15:00 AM,317,0.69,32,32,Chicago Carriage Cab Corp
540156,02/13/2019 08:15:00 AM,297,0.8,8,8,Medallion Leasin
540157,02/13/2019 08:15:00 AM,233,0.53,8,8,Chicago Carriage Cab Corp
540158,02/13/2019 08:15:00 AM,408,1.68,28,8,City Service
540159,02/13/2019 08:15:00 AM,469,0.95,32,28,Chicago Carriage Cab Corp
