,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
570000,02/14/2019 08:45:00 PM,457,1.24,8,28,Taxi Affiliation Service Yellow
570001,02/14/2019 08:45:00 PM,434,0.76,32,32,Taxi Affiliation Service Yellow
570002,02/14/2019 08:45:00 PM,464,1.11,32,8,Chicago Carriage Cab Corp
570003,02/14/2019 08:45:00 PM,365,1.1,32,8,Taxi Affiliation Service Yellow
570004,02/14/2019 08:45:00 PM,307,1.05,33,33,Sun Taxi
570005,02/14/2019 08:45:00 PM,558,1.91,77,2,Sun Taxi
570006,02/14/2019 08:45:00 PM,423,1.2,33,33,Blue Diamond
570007,02/14/2019 08:45:00 PM,207,0.52,8,8,Flash Cab
570008,02/14/2019 08:45:00 PM,419,1.06,32,8,Chicago Carriage Cab Corp
570009,02/14/2019 08:45:00 PM,480,1.8,32,33,Medallion Leasin
570010,02/14/2019 08:45:00 PM,369,1.29,32,8,City Service
570011,02/14/2019 08:45:00 PM,469,0.83,8,32,Chicago Carriage Cab Corp
570012,02/14/2019 08:45:00 PM,394,1.48,32,28,Sun Taxi
570013,02/14/2019 08:45:00 PM,581,1.9,28,8,Chicago Carriage Cab Corp
570014,02/14/2019 08:45:00 PM,188,0.75,8,8,City Service
570015,02/14/2019 08:45:00 PM,574,0.8,8,8,City Service
570016,02/14/2019 08:45:00 PM,240,0.7,8,8,Medallion Leasin
570017,02/14/2019 08:45:00 PM,341,1.15,32,28,Sun Taxi
570018,02/14/2019 08:45:00 PM,530,1.17,8,8,Sun Taxi
570019,02/14/2019 08:45:00 PM,522,1.26,28,32,Sun Taxi
570020,02/14/2019 08:45:00 PM,594,0.77,8,8,City Service
570021,02/14/2019 08:45:00 PM,480,1.3,32,8,Chicago Independents
570022,02/14/2019 08:45:00 PM,264,0.67,32,8,Nova Taxi Affiliation Llc
570023,02/14/2019 08:45:00 PM,465,1.17,8,8,Chicago Carriage Cab Corp
570024,02/14/2019 08:45:00 PM,249,0.8,8,32,Globe Taxi
570025,02/14/2019 08:45:00 PM,530,1.16,8,32,Sun Taxi
570026,02/14/2019 08:45:00 PM,446,0.69,6,6,Chicago Carriage Cab Corp
570027,02/14/2019 08:45:00 PM,469,0.63,6,6,Flash Cab
570028,02/14/2019 08:45:00 PM,361,1.09,8,8,Nova Taxi Affiliation Llc
570029,02/14/2019 08:45:00 PM,240,1.1,8,8,Globe Taxi
