,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
580000,02/15/2019 02:00:00 PM,540,1.1,32,8,Chicago Medallion Management
580001,02/15/2019 02:00:00 PM,420,1.0,32,8,Star North Management LLC
580002,02/15/2019 02:00:00 PM,300,1.2,28,28,"Taxicab Insurance Agency, LLC"
580003,02/15/2019 02:00:00 PM,360,1.0,28,32,Taxi Affiliation Services
580004,02/15/2019 02:00:00 PM,300,0.8,32,32,Choice Taxi Association
580005,02/15/2019 02:00:00 PM,420,0.9,32,32,Star North Management LLC
580006,02/15/2019 02:00:00 PM,240,0.9,33,32,Taxi Affiliation Services
580007,02/15/2019 02:00:00 PM,480,1.0,32,32,Taxi Affiliation Services
580008,02/15/2019 02:00:00 PM,540,1.2,8,32,Taxi Affiliation Services
580009,02/15/2019 02:00:00 PM,480,1.3,8,32,Taxi Affiliation Services
580010,02/15/2019 02:00:00 PM,2880,1.1,32,76,Taxi Affiliation Services
580011,02/15/2019 02:00:00 PM,300,0.8,32,8,Chicago Independents
580012,02/15/2019 02:00:00 PM,540,1.6,32,28,Star North Management LLC
580013,02/15/2019 02:00:00 PM,540,1.8,6,6,Star North Management LLC
580014,02/15/2019 02:00:00 PM,300,0.9,32,8,Chicago Medallion Management
580015,02/15/2019 02:00:00 PM,540,0.9,32,32,Star North Management LLC
580016,02/15/2019 02:00:00 PM,240,0.8,3,77,Taxi Affiliation Services
580017,02/15/2019 02:00:00 PM,420,1.7,28,8,Taxi Affiliation Services
580018,02/15/2019 02:00:00 PM,420,1.1,8,8,"Taxicab Insurance Agency, LLC"
580019,02/15/2019 02:00:00 PM,480,1.2,32,32,Star North Management LLC
580020,02/15/2019 02:00:00 PM,300,1.5,32,8,Taxi Affiliation Services
580021,02/15/2019 02:00:00 PM,300,0.8,32,32,Taxi Affiliation Services
580022,02/15/2019 02:00:00 PM,240,0.6,8,8,Choice Taxi Association
580023,02/15/2019 02:00:00 PM,420,1.1,32,8,Star North Management LLC
580024,02/15/2019 02:00:00 PM,540,1.2,32,8,Choice Taxi Association
580025,02/15/2019 02:00:00 PM,300,1.0,32,28,Star North Management LLC
580026,02/15/2019 02:00:00 PM,360,0.7,8,8,Taxi Affiliation Services
580027,02/15/2019 02:00:00 PM,300,1.0,8,32,Taxi Affiliation Services
580028,02/15/2019 02:00:00 PM,300,0.8,32,32,Taxi Affiliation Services
580029,02/15/2019 02:00:00 PM,360,0.9,8,8,Choice Taxi Association
580030,02/15/2019 02:00:00 PM,360,0.9,8,8,Taxi Affiliation Services
580031,02/15/2019 02:00:00 PM,360,0.7,32,32,Taxi Affiliation Services
580032,02/15/2019 02:00:00 PM,420,0.8,32,28,Top Cab Affiliation
580033,02/15/2019 02:00:00 PM,360,0.9,32,8,"Taxicab Insurance Agency, LLC"
580034,02/15/2019 02:00:00 PM,420,0.9,8,8,Taxi Affiliation Services
580035,02/15/2019 02:00:00 PM,360,0.7,32,32,Taxi Affiliation Services
580036,02/15/2019 02:00:00 PM,420,0.8,8,32,Taxi Affiliation Services
580037,02/15/2019 02:00:00 PM,540,1.5,32,28,Star North Management LLC
580038,02/15/2019 02:00:00 PM,1980,1.0,76,7,Taxi Affiliation Services
580039,02/15/2019 02:00:00 PM,360,0.8,32,8,Taxi Affiliation Services
580040,02/15/2019 02:00:00 PM,360,1.1,8,8,Taxi Affiliation Services
580041,02/15/2019 02:00:00 PM,360,0.8,8,32,Star North Management LLC
580042,02/15/2019 02:00:00 PM,300,0.7,8,32,Star North Management LLC
580043,02/15/2019 02:00:00 PM,480,0.9,32,32,Taxi Affiliation Services
580044,02/15/2019 02:00:00 PM,540,1.5,32,8,KOAM Taxi Association
580045,02/15/2019 02:00:00 PM,2820,1.1,32,76,Blue Ribbon Taxi Association Inc.
580046,02/15/2019 02:00:00 PM,360,1.3,8,8,Star North Management LLC
580047,02/15/2019 02:00:00 PM,540,1.7,7,8,Taxi Affiliation Services
580048,02/15/2019 02:00:00 PM,360,0.8,8,8,Taxi Affiliation Services
580049,02/15/2019 02:00:00 PM,360,0.9,33,32,Taxi Affiliation Services
580050,02/15/2019 02:00:00 PM,540,1.1,32,28,Choice Taxi Association
580051,02/15/2019 02:00:00 PM,540,1.4,32,8,Star North Management LLC
580052,02/15/2019 02:00:00 PM,2400,1.0,76,28,Blue Ribbon Taxi Association Inc.
580053,02/15/2019 02:00:00 PM,540,1.7,32,28,Star North Management LLC
580054,02/15/2019 02:00:00 PM,480,0.8,8,32,Taxi Affiliation Services
580055,02/15/2019 02:00:00 PM,300,0.8,28,32,Taxi Affiliation Services
580056,02/15/2019 02:00:00 PM,240,0.6,28,32,Taxi Affiliation Services
580057,02/15/2019 02:00:00 PM,420,0.9,32,28,KOAM Taxi Association
580058,02/15/2019 02:00:00 PM,420,0.9,8,32,Taxi Affiliation Services
580059,02/15/2019 02:00:00 PM,360,0.8,32,32,Taxi Affiliation Services
580060,02/15/2019 02:00:00 PM,480,0.9,8,32,KOAM Taxi Association
580061,02/15/2019 02:00:00 PM,360,1.7,32,33,Taxi Affiliation Services
580062,02/15/2019 02:00:00 PM,480,1.3,8,8,Choice Taxi Association
580063,02/15/2019 02:00:00 PM,420,1.1,32,8,Star North Management LLC
580064,02/15/2019 02:00:00 PM,540,1.4,28,8,"Taxicab Insurance Agency, LLC"
580065,02/15/2019 02:00:00 PM,300,0.6,8,8,Taxi Affiliation Services
580066,02/15/2019 02:00:00 PM,480,0.9,32,8,Star North Management LLC
580067,02/15/2019 02:00:00 PM,360,0.8,28,32,Taxi Affiliation Services
580068,02/15/2019 02:00:00 PM,360,0.8,32,32,Top Cab Affiliation
580069,02/15/2019 02:00:00 PM,420,0.9,8,8,Chicago Medallion Management
580070,02/15/2019 02:00:00 PM,300,0.7,32,28,Taxi Affiliation Services
580071,02/15/2019 02:00:00 PM,300,0.8,32,8,Taxi Affiliation Services
580072,02/15/2019 02:00:00 PM,300,0.8,32,32,Chicago Medallion Management
580073,02/15/2019 02:00:00 PM,240,0.9,32,8,Taxi Affiliation Services
580074,02/15/2019 02:00:00 PM,420,0.9,32,28,3623 - 72222 Arrington Enterprises
580075,02/15/2019 02:00:00 PM,300,0.8,8,32,Chicago Independents
580076,02/15/2019 02:00:00 PM,480,0.9,8,32,Chicago Independents
580077,02/15/2019 02:00:00 PM,540,0.8,8,32,Taxi Affiliation Services
580078,02/15/2019 02:00:00 PM,360,1.1,32,8,Taxi Affiliation Services
580079,02/15/2019 02:00:00 PM,300,1.3,8,8,Chicago Independents
580080,02/15/2019 02:00:00 PM,420,0.7,32,8,"Taxicab Insurance Agency, LLC"
580081,02/15/2019 02:00:00 PM,257,0.51,28,32,24 Seven Taxi
580082,02/15/2019 02:00:00 PM,480,1.8,7,8,City Service
580083,02/15/2019 02:00:00 PM,330,0.7,8,8,Medallion Leasin
580084,02/15/2019 02:00:00 PM,439,0.97,8,32,Taxi Affiliation Service Yellow
580085,02/15/2019 02:00:00 PM,506,1.26,32,8,Flash Cab
580086,02/15/2019 02:00:00 PM,360,0.7,8,8,Sun Taxi
580087,02/15/2019 02:00:00 PM,540,1.1,8,28,24 Seven Taxi
580088,02/15/2019 02:00:00 PM,206,0.7,32,32,Checker Taxi Affiliation
580089,02/15/2019 02:00:00 PM,393,1.1,32,8,Taxi Affiliation Service Yellow
580090,02/15/2019 02:00:00 PM,463,0.91,32,32,Chicago Carriage Cab Corp
580091,02/15/2019 02:00:00 PM,256,0.6,8,8,Taxi Affiliation Service Yellow
580092,02/15/2019 02:00:00 PM,427,1.26,32,8,Taxi Affiliation Service Yellow
580093,02/15/2019 02:00:00 PM,352,1.03,8,32,Sun Taxi
580094,02/15/2019 02:00:00 PM,453,0.8,8,28,Taxi Affiliation Service Yellow
580095,02/15/2019 02:00:00 PM,366,0.85,32,32,Chicago Carriage Cab Corp
580096,02/15/2019 02:00:00 PM,530,1.7,13,16,Blue Diamond
580097,02/15/2019 02:00:00 PM,357,0.54,32,32,Sun Taxi
580098,02/15/2019 02:00:00 PM,514,1.3,32,8,City Service
580099,02/15/2019 02:00:00 PM,540,1.2,8,8,Medallion Leasin
580100,02/15/2019 02:00:00 PM,599,1.28,32,8,Checker Taxi Affiliation
580101,02/15/2019 02:00:00 PM,537,1.14,8,32,Nova Taxi Affiliation Llc
580102,02/15/2019 02:00:00 PM,453,1.08,8,28,City Service
580103,02/15/2019 02:00:00 PM,382,0.8,32,32,Setare Inc
580104,02/15/2019 02:00:00 PM,338,0.8,8,8,Blue Diamond
580105,02/15/2019 02:00:00 PM,292,0.68,32,28,Checker Taxi Affiliation
580106,02/15/2019 02:00:00 PM,509,0.9,8,8,Taxi Affiliation Service Yellow
580107,02/15/2019 02:00:00 PM,565,1.69,8,32,Flash Cab
580108,02/15/2019 02:00:00 PM,585,1.43,28,8,Nova Taxi Affiliation Llc
580109,02/15/2019 02:00:00 PM,562,0.88,28,32,Chicago Carriage Cab Corp
580110,02/15/2019 02:00:00 PM,513,0.9,8,8,Blue Diamond
580111,02/15/2019 02:00:00 PM,420,1.1,8,32,Medallion Leasin
580112,02/15/2019 02:00:00 PM,546,1.05,59,58,City Service
580113,02/15/2019 02:00:00 PM,331,0.86,8,32,Chicago Carriage Cab Corp
580114,02/15/2019 02:00:00 PM,352,1.14,32,8,Chicago Carriage Cab Corp
580115,02/15/2019 02:00:00 PM,370,0.86,28,32,Sun Taxi
580116,02/15/2019 02:00:00 PM,239,0.66,8,32,City Service
580117,02/15/2019 02:00:00 PM,426,1.4,41,41,Taxi Affiliation Service Yellow
580118,02/15/2019 02:00:00 PM,240,0.9,33,33,Chicago Independents
580119,02/15/2019 02:00:00 PM,385,0.69,7,7,Flash Cab
580120,02/15/2019 02:00:00 PM,422,1.0,8,8,Globe Taxi
580121,02/15/2019 02:00:00 PM,533,1.66,32,24,Flash Cab
580122,02/15/2019 02:00:00 PM,405,0.64,32,32,Patriot Taxi Dba Peace Taxi Associat
580123,02/15/2019 02:00:00 PM,386,0.98,28,32,Chicago Carriage Cab Corp
580124,02/15/2019 02:00:00 PM,255,0.69,8,32,Flash Cab
580125,02/15/2019 02:00:00 PM,265,0.59,8,32,City Service
580126,02/15/2019 02:00:00 PM,300,0.8,32,32,Medallion Leasin
580127,02/15/2019 02:00:00 PM,483,1.0,8,28,City Service
580128,02/15/2019 02:00:00 PM,430,1.58,8,32,Nova Taxi Affiliation Llc
580129,02/15/2019 02:00:00 PM,480,1.2,32,8,Globe Taxi
580130,02/15/2019 02:00:00 PM,480,0.6,8,32,City Service
580131,02/15/2019 02:00:00 PM,323,0.55,8,32,City Service
580132,02/15/2019 02:00:00 PM,367,0.54,8,8,Flash Cab
580133,02/15/2019 02:00:00 PM,466,0.7,32,8,Medallion Leasin
580134,02/15/2019 02:00:00 PM,540,0.8,8,32,Sun Taxi
580135,02/15/2019 02:00:00 PM,240,0.6,32,8,Globe Taxi
580136,02/15/2019 02:00:00 PM,591,1.31,24,24,Flash Cab
580137,02/15/2019 02:00:00 PM,295,0.83,8,8,City Service
580138,02/15/2019 02:00:00 PM,471,0.9,28,32,Medallion Leasin
580139,02/15/2019 02:00:00 PM,513,1.12,32,32,Flash Cab
580140,02/15/2019 02:00:00 PM,478,1.39,14,4,Flash Cab
580141,02/15/2019 02:00:00 PM,548,1.14,32,24,Gold Coast Taxi
580142,02/15/2019 02:00:00 PM,540,0.9,32,32,Sun Taxi
580143,02/15/2019 02:00:00 PM,420,0.8,8,28,Sun Taxi
580144,02/15/2019 02:00:00 PM,257,0.6,32,32,Setare Inc
