,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
590000,02/16/2019 12:45:00 AM,372,1.2,8,8,City Service
590001,02/16/2019 12:45:00 AM,295,0.67,8,8,Chicago Carriage Cab Corp
590002,02/16/2019 12:45:00 AM,485,1.93,8,7,Chicago Carriage Cab Corp
590003,02/16/2019 12:45:00 AM,257,0.84,8,8,City Service
590004,02/16/2019 12:45:00 AM,326,1.04,8,28,Flash Cab
590005,02/16/2019 12:45:00 AM,487,1.3,32,8,City Service
590006,02/16/2019 12:45:00 AM,378,1.5,8,8,Flash Cab
590007,02/16/2019 12:45:00 AM,344,1.5,1,77,Flash Cab
590008,02/16/2019 12:45:00 AM,341,0.8,8,7,Flash Cab
590009,02/16/2019 12:45:00 AM,468,1.0,8,8,Flash Cab
590010,02/16/2019 12:45:00 AM,218,1.2,3,3,Flash Cab
590011,02/16/2019 12:45:00 AM,228,0.8,6,6,Flash Cab
590012,02/16/2019 12:45:00 AM,415,1.2,6,5,Flash Cab
590013,02/16/2019 01:00:00 AM,360,1.2,6,7,Star North Management LLC
590014,02/16/2019 01:00:00 AM,360,1.2,6,7,Taxi Affiliation Services
590015,02/16/2019 01:00:00 AM,420,1.7,28,8,Star North Management LLC
590016,02/16/2019 01:00:00 AM,420,0.6,8,8,Taxi Affiliation Services
590017,02/16/2019 01:00:00 AM,240,0.9,6,6,Chicago Independents
590018,02/16/2019 01:00:00 AM,360,1.2,8,32,Choice Taxi Association
590019,02/16/2019 01:00:00 AM,300,1.1,6,6,Taxi Affiliation Services
590020,02/16/2019 01:00:00 AM,420,1.8,8,8,Taxi Affiliation Services
590021,02/16/2019 01:00:00 AM,360,1.1,8,8,Star North Management LLC
590022,02/16/2019 01:00:00 AM,300,0.9,32,8,Choice Taxi Association
590023,02/16/2019 01:00:00 AM,300,1.0,32,8,Taxi Affiliation Services
590024,02/16/2019 01:00:00 AM,300,1.3,6,6,Taxi Affiliation Services
590025,02/16/2019 01:00:00 AM,240,1.0,33,35,Taxi Affiliation Services
590026,02/16/2019 01:00:00 AM,300,0.9,8,32,Star North Management LLC
590027,02/16/2019 01:00:00 AM,240,0.9,11,15,Star North Management LLC
590028,02/16/2019 01:00:00 AM,480,1.2,8,32,Taxi Affiliation Services
590029,02/16/2019 01:00:00 AM,360,1.2,32,32,Taxi Affiliation Services
590030,02/16/2019 01:00:00 AM,480,1.0,8,8,Taxi Affiliation Services
590031,02/16/2019 01:00:00 AM,360,0.9,28,28,Taxi Affiliation Services
590032,02/16/2019 01:00:00 AM,360,1.3,8,32,Star North Management LLC
590033,02/16/2019 01:00:00 AM,360,1.4,8,8,Top Cab Affiliation
590034,02/16/2019 01:00:00 AM,240,1.0,8,32,Taxi Affiliation Services
590035,02/16/2019 01:00:00 AM,300,0.8,8,8,Taxi Affiliation Services
590036,02/16/2019 01:00:00 AM,300,1.1,7,7,Taxi Affiliation Services
590037,02/16/2019 01:00:00 AM,300,0.9,7,6,Taxi Affiliation Services
590038,02/16/2019 01:00:00 AM,300,0.9,8,32,Taxi Affiliation Services
590039,02/16/2019 01:00:00 AM,480,1.4,8,32,Choice Taxi Association
590040,02/16/2019 01:00:00 AM,360,1.2,28,8,Taxi Affiliation Services
590041,02/16/2019 01:00:00 AM,300,0.9,8,8,Taxi Affiliation Services
590042,02/16/2019 01:00:00 AM,240,1.0,8,28,Taxi Affiliation Services
590043,02/16/2019 01:00:00 AM,437,1.3,8,8,Taxi Affiliation Service Yellow
590044,02/16/2019 01:00:00 AM,345,1.09,8,8,City Service
590045,02/16/2019 01:00:00 AM,533,1.06,8,8,Flash Cab
590046,02/16/2019 01:00:00 AM,491,1.31,8,8,Globe Taxi
590047,02/16/2019 01:00:00 AM,409,1.4,8,8,Blue Diamond
590048,02/16/2019 01:00:00 AM,318,0.99,8,8,Chicago Carriage Cab Corp
590049,02/16/2019 01:00:00 AM,300,1.1,8,8,Medallion Leasin
590050,02/16/2019 01:00:00 AM,320,1.08,8,8,Taxi Affiliation Service Yellow
590051,02/16/2019 01:00:00 AM,322,1.2,28,8,Flash Cab
590052,02/16/2019 01:00:00 AM,243,0.94,8,8,Chicago Carriage Cab Corp
590053,02/16/2019 01:00:00 AM,351,0.88,8,8,Flash Cab
590054,02/16/2019 01:00:00 AM,518,1.12,8,24,Flash Cab
590055,02/16/2019 01:00:00 AM,360,0.9,8,8,Medallion Leasin
590056,02/16/2019 01:00:00 AM,233,0.61,7,8,City Service
590057,02/16/2019 01:00:00 AM,340,1.2,8,8,Setare Inc
590058,02/16/2019 01:00:00 AM,222,0.74,7,8,City Service
590059,02/16/2019 01:00:00 AM,558,1.53,8,32,Flash Cab
590060,02/16/2019 01:00:00 AM,472,1.8,24,8,Flash Cab
590061,02/16/2019 01:00:00 AM,468,1.93,28,8,Chicago Carriage Cab Corp
590062,02/16/2019 01:00:00 AM,552,1.44,28,8,City Service
590063,02/16/2019 01:00:00 AM,292,0.57,8,8,Chicago Carriage Cab Corp
590064,02/16/2019 01:00:00 AM,582,1.9,8,24,City Service
590065,02/16/2019 01:00:00 AM,300,0.83,28,28,City Service
590066,02/16/2019 01:00:00 AM,537,1.3,8,8,Sun Taxi
590067,02/16/2019 01:00:00 AM,276,0.72,8,8,Patriot Taxi Dba Peace Taxi Associat
590068,02/16/2019 01:00:00 AM,321,0.99,8,8,Chicago Carriage Cab Corp
590069,02/16/2019 01:00:00 AM,452,1.02,8,8,Flash Cab
590070,02/16/2019 01:00:00 AM,257,0.6,8,8,City Service
590071,02/16/2019 01:00:00 AM,333,0.87,7,7,Flash Cab
590072,02/16/2019 01:00:00 AM,503,1.4,8,32,City Service
590073,02/16/2019 01:00:00 AM,360,1.1,8,8,Globe Taxi
590074,02/16/2019 01:00:00 AM,300,1.3,32,8,Sun Taxi
590075,02/16/2019 01:00:00 AM,362,0.57,8,8,Flash Cab
590076,02/16/2019 01:00:00 AM,307,0.7,8,8,City Service
590077,02/16/2019 01:00:00 AM,351,0.51,8,8,Flash Cab
590078,02/16/2019 01:00:00 AM,327,1.69,21,20,Flash Cab
590079,02/16/2019 01:00:00 AM,207,0.54,7,7,Flash Cab
590080,02/16/2019 01:00:00 AM,256,1.0,7,7,Medallion Leasin
590081,02/16/2019 01:00:00 AM,579,1.1,8,8,Leonard Cab Co
590082,02/16/2019 01:00:00 AM,257,0.74,8,8,Nova Taxi Affiliation Llc
590083,02/16/2019 01:00:00 AM,189,0.51,8,8,City Service
590084,02/16/2019 01:00:00 AM,258,0.71,8,8,Patriot Taxi Dba Peace Taxi Associat
590085,02/16/2019 01:00:00 AM,326,0.73,8,8,Flash Cab
590086,02/16/2019 01:00:00 AM,420,1.47,7,8,Nova Taxi Affiliation Llc
590087,02/16/2019 01:00:00 AM,237,0.58,8,8,Chicago Carriage Cab Corp
590088,02/16/2019 01:00:00 AM,209,0.91,8,8,Chicago Carriage Cab Corp
590089,02/16/2019 01:00:00 AM,400,1.07,32,8,Flash Cab
590090,02/16/2019 01:00:00 AM,392,1.15,12,12,Flash Cab
590091,02/16/2019 01:00:00 AM,411,1.04,8,8,Flash Cab
590092,02/16/2019 01:00:00 AM,290,0.74,28,28,Sun Taxi
590093,02/16/2019 01:00:00 AM,359,0.73,8,8,Flash Cab
590094,02/16/2019 01:00:00 AM,352,1.04,8,8,Flash Cab
