,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
600000,02/17/2019 12:00:00 AM,360,0.9,8,8,Medallion Leasin
600001,02/17/2019 12:00:00 AM,328,1.2,8,8,Chicago Carriage Cab Corp
600002,02/17/2019 12:00:00 AM,272,0.89,8,7,Flash Cab
600003,02/17/2019 12:00:00 AM,547,0.72,14,16,Flash Cab
600004,02/17/2019 12:00:00 AM,472,0.8,8,8,Taxi Affiliation Service Yellow
600005,02/17/2019 12:00:00 AM,390,0.9,28,32,Taxi Affiliation Service Yellow
600006,02/17/2019 12:00:00 AM,394,1.16,8,32,City Service
600007,02/17/2019 12:00:00 AM,373,0.93,8,8,Flash Cab
600008,02/17/2019 12:00:00 AM,366,0.82,8,8,Chicago Carriage Cab Corp
600009,02/17/2019 12:00:00 AM,480,1.4,8,32,Globe Taxi
600010,02/17/2019 12:00:00 AM,480,1.8,8,32,City Service
600011,02/17/2019 12:00:00 AM,480,1.2,24,28,Globe Taxi
600012,02/17/2019 12:00:00 AM,190,0.89,32,8,Patriot Taxi Dba Peace Taxi Associat
600013,02/17/2019 12:00:00 AM,340,1.0,8,8,Checker Taxi Affiliation
600014,02/17/2019 12:00:00 AM,290,0.7,8,8,City Service
600015,02/17/2019 12:00:00 AM,233,1.62,28,8,Flash Cab
600016,02/17/2019 12:00:00 AM,330,1.47,14,13,City Service
600017,02/17/2019 12:00:00 AM,402,0.85,8,8,City Service
600018,02/17/2019 12:00:00 AM,420,1.2,6,6,Medallion Leasin
600019,02/17/2019 12:00:00 AM,416,1.27,8,8,Chicago Carriage Cab Corp
600020,02/17/2019 12:00:00 AM,277,0.63,8,8,Flash Cab
600021,02/17/2019 12:00:00 AM,321,1.42,6,3,City Service
600022,02/17/2019 12:00:00 AM,240,0.6,8,24,City Service
600023,02/17/2019 12:00:00 AM,190,0.6,8,8,Chicago Carriage Cab Corp
600024,02/17/2019 12:00:00 AM,558,1.97,8,28,Sun Taxi
600025,02/17/2019 12:00:00 AM,360,1.3,8,7,Globe Taxi
600026,02/17/2019 12:00:00 AM,252,0.9,6,6,Medallion Leasin
600027,02/17/2019 12:00:00 AM,443,1.78,8,8,City Service
600028,02/17/2019 12:00:00 AM,240,0.69,1,1,Flash Cab
600029,02/17/2019 12:00:00 AM,456,1.69,8,28,Sun Taxi
600030,02/17/2019 12:00:00 AM,420,0.8,8,8,Globe Taxi
600031,02/17/2019 12:00:00 AM,482,1.56,8,8,Chicago Carriage Cab Corp
600032,02/17/2019 12:00:00 AM,535,1.71,32,8,Sun Taxi
600033,02/17/2019 12:00:00 AM,216,0.55,32,32,Flash Cab
600034,02/17/2019 12:00:00 AM,300,1.06,7,8,Nova Taxi Affiliation Llc
600035,02/17/2019 12:00:00 AM,565,1.95,8,7,Chicago Carriage Cab Corp
600036,02/17/2019 12:00:00 AM,468,0.69,6,6,Flash Cab
600037,02/17/2019 12:00:00 AM,300,1.0,8,8,Medallion Leasin
600038,02/17/2019 12:00:00 AM,492,0.6,8,8,Medallion Leasin
600039,02/17/2019 12:00:00 AM,455,0.7,8,8,Flash Cab
600040,02/17/2019 12:00:00 AM,474,1.1,8,32,Chicago Carriage Cab Corp
600041,02/17/2019 12:00:00 AM,480,1.3,8,8,Globe Taxi
600042,02/17/2019 12:00:00 AM,421,1.86,8,32,City Service
600043,02/17/2019 12:00:00 AM,451,1.1,8,28,City Service
600044,02/17/2019 12:00:00 AM,267,0.72,32,32,Nova Taxi Affiliation Llc
600045,02/17/2019 12:00:00 AM,488,1.55,32,8,Chicago Carriage Cab Corp
600046,02/17/2019 12:00:00 AM,260,0.79,8,8,Nova Taxi Affiliation Llc
600047,02/17/2019 12:00:00 AM,355,1.13,7,7,Chicago Carriage Cab Corp
600048,02/17/2019 12:00:00 AM,420,0.6,8,8,City Service
600049,02/17/2019 12:00:00 AM,276,1.17,24,32,Sun Taxi
600050,02/17/2019 12:00:00 AM,358,1.1,6,6,Medallion Leasin
600051,02/17/2019 12:00:00 AM,365,1.94,22,5,Sun Taxi
600052,02/17/2019 12:00:00 AM,216,0.62,33,32,Flash Cab
600053,02/17/2019 12:00:00 AM,303,0.67,8,8,City Service
600054,02/17/2019 12:00:00 AM,375,0.91,8,8,Chicago Carriage Cab Corp
600055,02/17/2019 12:00:00 AM,449,1.35,5,5,Flash Cab
600056,02/17/2019 12:00:00 AM,454,1.89,6,3,Sun Taxi
600057,02/17/2019 12:00:00 AM,413,0.72,6,6,Flash Cab
600058,02/17/2019 12:00:00 AM,520,1.1,8,8,Flash Cab
600059,02/17/2019 12:00:00 AM,384,0.86,8,24,Flash Cab
600060,02/17/2019 12:00:00 AM,490,0.65,8,8,Flash Cab
600061,02/17/2019 12:00:00 AM,533,1.57,77,77,Sun Taxi
600062,02/17/2019 12:00:00 AM,272,0.6,8,8,Sun Taxi
600063,02/17/2019 12:00:00 AM,224,0.8,6,6,Flash Cab
600064,02/17/2019 12:00:00 AM,498,1.8,28,8,5 Star Taxi
600065,02/17/2019 12:00:00 AM,293,1.0,8,32,Flash Cab
600066,02/17/2019 12:00:00 AM,430,1.3,8,24,Flash Cab
600067,02/17/2019 12:00:00 AM,522,0.9,8,8,Flash Cab
600068,02/17/2019 12:00:00 AM,224,0.7,6,6,Flash Cab
600069,02/17/2019 12:00:00 AM,483,1.4,7,7,Flash Cab
600070,02/17/2019 12:00:00 AM,198,0.6,8,8,Flash Cab
600071,02/17/2019 12:15:00 AM,300,0.8,8,8,Taxi Affiliation Services
600072,02/17/2019 12:15:00 AM,300,0.8,8,8,Taxi Affiliation Services
600073,02/17/2019 12:15:00 AM,420,1.2,32,8,312 Medallion Management Corp
600074,02/17/2019 12:15:00 AM,540,1.7,32,8,Taxi Affiliation Services
600075,02/17/2019 12:15:00 AM,300,1.1,8,7,Star North Management LLC
600076,02/17/2019 12:15:00 AM,540,1.6,8,28,Taxi Affiliation Services
600077,02/17/2019 12:15:00 AM,300,1.0,32,8,Taxi Affiliation Services
600078,02/17/2019 12:15:00 AM,540,1.5,8,8,Star North Management LLC
600079,02/17/2019 12:15:00 AM,540,1.2,8,8,Taxi Affiliation Services
600080,02/17/2019 12:15:00 AM,480,1.8,22,22,Taxi Affiliation Services
600081,02/17/2019 12:15:00 AM,420,1.0,8,8,Taxi Affiliation Services
