,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
610000,02/18/2019 08:45:00 AM,240,0.8,32,28,Taxi Affiliation Services
610001,02/18/2019 08:45:00 AM,360,1.0,32,32,Taxi Affiliation Services
610002,02/18/2019 08:45:00 AM,300,1.0,28,32,Star North Management LLC
610003,02/18/2019 08:45:00 AM,420,1.2,32,8,Taxi Affiliation Services
610004,02/18/2019 08:45:00 AM,480,1.5,8,28,Star North Management LLC
610005,02/18/2019 08:45:00 AM,300,0.8,32,32,Star North Management LLC
610006,02/18/2019 08:45:00 AM,360,1.1,28,8,Chicago Medallion Management
610007,02/18/2019 08:45:00 AM,480,1.2,32,8,Taxi Affiliation Services
610008,02/18/2019 08:45:00 AM,540,1.6,32,8,Taxi Affiliation Services
610009,02/18/2019 08:45:00 AM,420,1.3,28,32,Choice Taxi Association
610010,02/18/2019 08:45:00 AM,480,1.0,8,32,Taxi Affiliation Services
610011,02/18/2019 08:45:00 AM,360,1.1,7,7,Taxi Affiliation Services
610012,02/18/2019 08:45:00 AM,360,0.9,28,32,"Taxicab Insurance Agency, LLC"
610013,02/18/2019 08:45:00 AM,360,0.7,28,32,"Taxicab Insurance Agency, LLC"
610014,02/18/2019 08:45:00 AM,240,0.7,28,8,Taxi Affiliation Services
610015,02/18/2019 08:45:00 AM,420,1.0,8,32,Choice Taxi Association
610016,02/18/2019 08:45:00 AM,420,1.2,28,32,Taxi Affiliation Services
610017,02/18/2019 08:45:00 AM,420,1.3,32,28,Star North Management LLC
610018,02/18/2019 08:45:00 AM,480,0.9,8,8,Taxi Affiliation Services
610019,02/18/2019 08:45:00 AM,240,0.8,32,32,Star North Management LLC
610020,02/18/2019 08:45:00 AM,420,1.3,32,8,Choice Taxi Association
610021,02/18/2019 08:45:00 AM,540,1.8,28,33,Taxi Affiliation Services
610022,02/18/2019 08:45:00 AM,2400,0.8,76,1,Blue Ribbon Taxi Association Inc.
610023,02/18/2019 08:45:00 AM,480,1.7,28,28,Chicago Medallion Management
610024,02/18/2019 08:45:00 AM,480,1.3,28,28,Taxi Affiliation Services
610025,02/18/2019 08:45:00 AM,2640,1.0,76,8,Taxi Affiliation Services
610026,02/18/2019 08:45:00 AM,360,0.6,28,32,"Taxicab Insurance Agency, LLC"
610027,02/18/2019 08:45:00 AM,540,1.8,8,32,Taxi Affiliation Services
610028,02/18/2019 08:45:00 AM,240,0.6,28,32,Chicago Medallion Management
610029,02/18/2019 08:45:00 AM,240,1.1,28,32,Taxi Affiliation Services
610030,02/18/2019 08:45:00 AM,329,0.92,32,8,Chicago Carriage Cab Corp
610031,02/18/2019 08:45:00 AM,322,0.78,32,8,Flash Cab
610032,02/18/2019 08:45:00 AM,571,1.1,28,32,Taxi Affiliation Service Yellow
610033,02/18/2019 08:45:00 AM,238,0.52,28,32,Sun Taxi
610034,02/18/2019 08:45:00 AM,443,1.05,8,32,Blue Diamond
610035,02/18/2019 08:45:00 AM,483,1.2,8,32,Taxi Affiliation Service Yellow
610036,02/18/2019 08:45:00 AM,319,0.84,8,32,Taxi Affiliation Service Yellow
610037,02/18/2019 08:45:00 AM,315,0.57,8,8,Taxi Affiliation Service Yellow
610038,02/18/2019 08:45:00 AM,420,1.3,28,8,Medallion Leasin
610039,02/18/2019 08:45:00 AM,420,1.2,32,8,City Service
610040,02/18/2019 08:45:00 AM,311,1.0,33,32,City Service
610041,02/18/2019 08:45:00 AM,260,0.6,32,32,Medallion Leasin
610042,02/18/2019 08:45:00 AM,552,1.19,8,32,Nova Taxi Affiliation Llc
610043,02/18/2019 08:45:00 AM,443,1.29,28,8,Sun Taxi
610044,02/18/2019 08:45:00 AM,460,1.2,8,8,Globe Taxi
610045,02/18/2019 08:45:00 AM,457,1.22,32,32,Chicago Carriage Cab Corp
