,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
640000,02/20/2019 11:00:00 AM,480,1.1,8,32,Taxi Affiliation Services
640001,02/20/2019 11:00:00 AM,300,1.0,8,32,KOAM Taxi Association
640002,02/20/2019 11:00:00 AM,540,1.4,32,8,Taxi Affiliation Services
640003,02/20/2019 11:00:00 AM,240,1.7,28,28,Star North Management LLC
640004,02/20/2019 11:00:00 AM,240,0.6,32,28,Choice Taxi Association
640005,02/20/2019 11:00:00 AM,420,1.1,32,28,Taxi Affiliation Services
640006,02/20/2019 11:00:00 AM,540,1.3,28,32,Taxi Affiliation Services
640007,02/20/2019 11:00:00 AM,420,0.9,8,8,Taxi Affiliation Services
640008,02/20/2019 11:00:00 AM,360,1.1,32,8,Taxi Affiliation Services
640009,02/20/2019 11:00:00 AM,300,0.6,28,32,Taxi Affiliation Services
640010,02/20/2019 11:00:00 AM,360,1.1,8,8,Taxi Affiliation Services
640011,02/20/2019 11:00:00 AM,360,0.8,32,8,Taxi Affiliation Services
640012,02/20/2019 11:00:00 AM,360,0.7,8,8,Taxi Affiliation Services
640013,02/20/2019 11:00:00 AM,512,0.97,32,32,Sun Taxi
640014,02/20/2019 11:00:00 AM,511,1.08,8,32,Globe Taxi
640015,02/20/2019 11:00:00 AM,330,0.8,28,8,Blue Diamond
640016,02/20/2019 11:00:00 AM,406,0.72,28,32,Taxi Affiliation Service Yellow
640017,02/20/2019 11:00:00 AM,449,1.31,8,8,Chicago Carriage Cab Corp
640018,02/20/2019 11:00:00 AM,2269,1.65,56,56,Chicago Carriage Cab Corp
640019,02/20/2019 11:00:00 AM,202,0.51,32,8,Taxi Affiliation Service Yellow
640020,02/20/2019 11:00:00 AM,461,0.7,32,8,Globe Taxi
640021,02/20/2019 11:00:00 AM,529,1.97,76,76,Chicago Carriage Cab Corp
640022,02/20/2019 11:00:00 AM,492,0.99,32,8,Blue Diamond
640023,02/20/2019 11:00:00 AM,503,0.98,32,8,Taxi Affiliation Service Yellow
640024,02/20/2019 11:00:00 AM,247,0.52,8,32,Sun Taxi
640025,02/20/2019 11:00:00 AM,580,1.7,28,28,City Service
640026,02/20/2019 11:00:00 AM,258,0.6,32,32,Sun Taxi
640027,02/20/2019 11:00:00 AM,439,1.15,32,8,Flash Cab
640028,02/20/2019 11:00:00 AM,294,0.66,28,32,Taxi Affiliation Service Yellow
640029,02/20/2019 11:00:00 AM,362,0.97,8,8,Flash Cab
640030,02/20/2019 11:00:00 AM,348,0.6,32,32,Checker Taxi Affiliation
640031,02/20/2019 11:00:00 AM,370,0.67,32,32,Taxi Affiliation Service Yellow
640032,02/20/2019 11:00:00 AM,256,1.0,59,59,Taxi Affiliation Service Yellow
640033,02/20/2019 11:00:00 AM,421,0.77,32,32,Chicago Carriage Cab Corp
640034,02/20/2019 11:00:00 AM,451,1.34,8,8,Sun Taxi
640035,02/20/2019 11:00:00 AM,296,0.7,8,32,Blue Diamond
640036,02/20/2019 11:00:00 AM,401,0.91,8,8,City Service
640037,02/20/2019 11:00:00 AM,300,0.9,8,8,Medallion Leasin
640038,02/20/2019 11:00:00 AM,225,0.6,32,8,Flash Cab
640039,02/20/2019 11:00:00 AM,508,1.8,8,28,Checker Taxi Affiliation
640040,02/20/2019 11:00:00 AM,322,1.02,8,8,City Service
640041,02/20/2019 11:00:00 AM,579,1.5,32,8,Taxi Affiliation Service Yellow
640042,02/20/2019 11:00:00 AM,310,1.0,8,8,Checker Taxi Affiliation
640043,02/20/2019 11:00:00 AM,539,1.2,32,28,Taxi Affiliation Service Yellow
640044,02/20/2019 11:00:00 AM,284,0.73,32,8,Sun Taxi
640045,02/20/2019 11:00:00 AM,420,1.0,32,32,Medallion Leasin
640046,02/20/2019 11:00:00 AM,314,0.77,28,32,City Service
640047,02/20/2019 11:00:00 AM,546,1.36,32,32,Chicago Carriage Cab Corp
640048,02/20/2019 11:00:00 AM,304,1.62,32,33,Sun Taxi
640049,02/20/2019 11:00:00 AM,420,0.8,8,8,Medallion Leasin
640050,02/20/2019 11:00:00 AM,427,1.04,8,8,Sun Taxi
640051,02/20/2019 11:00:00 AM,540,1.6,32,8,City Service
640052,02/20/2019 11:00:00 AM,360,0.9,32,8,Medallion Leasin
640053,02/20/2019 11:00:00 AM,368,1.05,32,8,Chicago Carriage Cab Corp
640054,02/20/2019 11:00:00 AM,485,1.0,28,32,Medallion Leasin
640055,02/20/2019 11:00:00 AM,379,0.93,32,32,Taxi Affiliation Service Yellow
640056,02/20/2019 11:00:00 AM,216,0.61,8,8,City Service
640057,02/20/2019 11:00:00 AM,283,0.7,32,32,Blue Diamond
640058,02/20/2019 11:00:00 AM,521,1.3,8,8,Taxi Affiliation Service Yellow
640059,02/20/2019 11:00:00 AM,472,1.21,28,32,Chicago Carriage Cab Corp
640060,02/20/2019 11:00:00 AM,503,1.08,32,8,Flash Cab
640061,02/20/2019 11:00:00 AM,272,0.64,28,32,Patriot Taxi Dba Peace Taxi Associat
640062,02/20/2019 11:00:00 AM,390,1.93,33,32,Sun Taxi
640063,02/20/2019 11:00:00 AM,488,1.4,32,8,Medallion Leasin
640064,02/20/2019 11:00:00 AM,360,0.9,8,32,Globe Taxi
640065,02/20/2019 11:00:00 AM,360,0.6,32,28,Globe Taxi
640066,02/20/2019 11:00:00 AM,544,1.16,7,6,Flash Cab
640067,02/20/2019 11:00:00 AM,291,1.0,8,8,Medallion Leasin
640068,02/20/2019 11:00:00 AM,420,0.73,8,8,Flash Cab
640069,02/20/2019 11:00:00 AM,431,0.78,32,28,Sun Taxi
640070,02/20/2019 11:00:00 AM,400,0.62,32,8,Chicago Carriage Cab Corp
640071,02/20/2019 11:00:00 AM,455,1.38,8,8,Patriot Taxi Dba Peace Taxi Associat
640072,02/20/2019 11:00:00 AM,387,1.12,8,32,City Service
640073,02/20/2019 11:00:00 AM,412,1.09,32,8,Flash Cab
640074,02/20/2019 11:00:00 AM,334,0.9,8,8,City Service
640075,02/20/2019 11:00:00 AM,500,1.72,8,8,Sun Taxi
640076,02/20/2019 11:00:00 AM,450,0.93,32,8,Flash Cab
640077,02/20/2019 11:00:00 AM,395,1.14,28,28,City Service
640078,02/20/2019 11:00:00 AM,483,1.83,28,8,Chicago Carriage Cab Corp
640079,02/20/2019 11:00:00 AM,473,1.06,8,8,Flash Cab
640080,02/20/2019 11:00:00 AM,239,0.76,8,8,Patriot Taxi Dba Peace Taxi Associat
640081,02/20/2019 11:00:00 AM,360,1.0,32,8,Globe Taxi
640082,02/20/2019 11:00:00 AM,191,0.66,32,32,Sun Taxi
640083,02/20/2019 11:00:00 AM,381,1.67,8,28,Patriot Taxi Dba Peace Taxi Associat
640084,02/20/2019 11:00:00 AM,507,1.03,28,32,Flash Cab
640085,02/20/2019 11:00:00 AM,490,0.9,8,32,City Service
640086,02/20/2019 11:00:00 AM,540,0.9,28,32,Medallion Leasin
640087,02/20/2019 11:00:00 AM,389,0.91,32,32,Chicago Carriage Cab Corp
640088,02/20/2019 11:00:00 AM,360,1.1,32,8,City Service
640089,02/20/2019 11:00:00 AM,586,1.66,8,8,Globe Taxi
640090,02/20/2019 11:00:00 AM,360,1.0,8,32,Medallion Leasin
640091,02/20/2019 11:00:00 AM,425,0.98,8,28,Chicago Carriage Cab Corp
640092,02/20/2019 11:00:00 AM,290,0.55,28,32,Flash Cab
640093,02/20/2019 11:00:00 AM,360,1.06,32,8,Nova Taxi Affiliation Llc
640094,02/20/2019 11:00:00 AM,384,0.8,32,28,Medallion Leasin
640095,02/20/2019 11:00:00 AM,425,1.25,8,32,Chicago Carriage Cab Corp
640096,02/20/2019 11:00:00 AM,320,1.05,32,8,Sun Taxi
640097,02/20/2019 11:00:00 AM,540,0.9,28,32,Globe Taxi
640098,02/20/2019 11:00:00 AM,420,1.5,8,32,Sun Taxi
640099,02/20/2019 11:00:00 AM,474,1.2,32,24,City Service
640100,02/20/2019 11:00:00 AM,381,0.61,32,32,Sun Taxi
640101,02/20/2019 11:00:00 AM,493,1.48,32,8,Flash Cab
640102,02/20/2019 11:00:00 AM,387,1.08,32,8,Sun Taxi
