,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
650000,02/20/2019 07:00:00 PM,360,0.8,32,8,Taxi Affiliation Services
650001,02/20/2019 07:00:00 PM,480,0.8,8,32,Taxi Affiliation Services
650002,02/20/2019 07:00:00 PM,300,0.7,28,32,Choice Taxi Association
650003,02/20/2019 07:00:00 PM,360,0.6,32,8,Taxi Affiliation Services
650004,02/20/2019 07:00:00 PM,540,1.2,32,8,Choice Taxi Association
650005,02/20/2019 07:00:00 PM,540,0.8,32,28,KOAM Taxi Association
650006,02/20/2019 07:00:00 PM,240,0.7,8,8,Taxi Affiliation Services
650007,02/20/2019 07:00:00 PM,360,0.6,32,32,Taxi Affiliation Services
650008,02/20/2019 07:00:00 PM,300,0.8,32,8,Taxi Affiliation Services
650009,02/20/2019 07:00:00 PM,2160,0.7,32,56,Blue Ribbon Taxi Association Inc.
650010,02/20/2019 07:00:00 PM,360,0.9,32,8,Taxi Affiliation Services
650011,02/20/2019 07:00:00 PM,540,0.8,32,8,Star North Management LLC
650012,02/20/2019 07:00:00 PM,540,1.3,8,8,Choice Taxi Association
650013,02/20/2019 07:00:00 PM,360,0.9,32,28,Taxi Affiliation Services
650014,02/20/2019 07:00:00 PM,360,1.5,7,8,"Taxicab Insurance Agency, LLC"
650015,02/20/2019 07:00:00 PM,420,1.2,32,8,Star North Management LLC
650016,02/20/2019 07:00:00 PM,540,1.3,32,28,Choice Taxi Association
650017,02/20/2019 07:00:00 PM,420,1.0,8,32,Taxi Affiliation Services
650018,02/20/2019 07:00:00 PM,360,0.9,28,28,Taxi Affiliation Services
650019,02/20/2019 07:00:00 PM,240,0.8,33,33,Taxi Affiliation Services
650020,02/20/2019 07:00:00 PM,360,0.7,32,8,KOAM Taxi Association
650021,02/20/2019 07:00:00 PM,420,1.1,8,8,"Taxicab Insurance Agency, LLC"
650022,02/20/2019 07:00:00 PM,360,0.9,32,8,Taxi Affiliation Services
650023,02/20/2019 07:00:00 PM,360,0.8,32,8,KOAM Taxi Association
650024,02/20/2019 07:00:00 PM,2940,1.0,76,8,Taxi Affiliation Services
650025,02/20/2019 07:00:00 PM,300,1.0,32,8,Choice Taxi Association
650026,02/20/2019 07:00:00 PM,300,1.0,32,8,Taxi Affiliation Services
650027,02/20/2019 07:00:00 PM,360,0.6,32,32,Taxi Affiliation Services
650028,02/20/2019 07:00:00 PM,540,1.5,3,6,KOAM Taxi Association
650029,02/20/2019 07:00:00 PM,360,0.7,32,8,Star North Management LLC
650030,02/20/2019 07:00:00 PM,360,1.0,8,32,Choice Taxi Association
650031,02/20/2019 07:00:00 PM,480,1.1,28,32,Star North Management LLC
650032,02/20/2019 07:00:00 PM,300,0.7,32,32,Taxi Affiliation Services
