,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
660000,02/21/2019 12:30:00 PM,349,0.7,32,28,City Service
660001,02/21/2019 12:30:00 PM,587,1.28,28,8,Taxi Affiliation Service Yellow
660002,02/21/2019 12:30:00 PM,356,0.7,32,8,Medallion Leasin
660003,02/21/2019 12:30:00 PM,283,0.7,8,8,Taxi Affiliation Service Yellow
660004,02/21/2019 12:30:00 PM,363,1.59,32,33,Taxi Affiliation Service Yellow
660005,02/21/2019 12:30:00 PM,321,0.8,8,8,Checker Taxi Affiliation
660006,02/21/2019 12:30:00 PM,580,1.85,32,8,Globe Taxi
660007,02/21/2019 12:30:00 PM,280,0.8,6,3,Checker Taxi Affiliation
660008,02/21/2019 12:30:00 PM,484,1.51,8,28,City Service
660009,02/21/2019 12:30:00 PM,224,0.6,6,6,Setare Inc
660010,02/21/2019 12:30:00 PM,368,1.41,24,24,Taxi Affiliation Service Yellow
660011,02/21/2019 12:30:00 PM,366,0.91,8,32,City Service
660012,02/21/2019 12:30:00 PM,303,0.6,8,32,Taxi Affiliation Service Yellow
660013,02/21/2019 12:30:00 PM,511,1.08,32,28,City Service
660014,02/21/2019 12:30:00 PM,416,1.18,8,32,Chicago Carriage Cab Corp
660015,02/21/2019 12:30:00 PM,360,0.6,32,32,Globe Taxi
660016,02/21/2019 12:30:00 PM,266,0.7,8,32,Chicago Taxicab
660017,02/21/2019 12:30:00 PM,541,0.78,32,8,City Service
660018,02/21/2019 12:30:00 PM,458,1.63,33,32,Blue Diamond
660019,02/21/2019 12:30:00 PM,284,1.69,33,33,Chicago Carriage Cab Corp
660020,02/21/2019 12:30:00 PM,495,1.1,32,8,Taxi Affiliation Service Yellow
660021,02/21/2019 12:30:00 PM,443,1.14,32,8,Flash Cab
660022,02/21/2019 12:30:00 PM,205,0.67,24,24,Taxi Affiliation Service Yellow
660023,02/21/2019 12:30:00 PM,360,0.7,8,8,Medallion Leasin
660024,02/21/2019 12:30:00 PM,360,0.9,8,32,Globe Taxi
660025,02/21/2019 12:30:00 PM,328,0.71,28,28,Flash Cab
660026,02/21/2019 12:30:00 PM,360,1.0,8,8,Medallion Leasin
660027,02/21/2019 12:30:00 PM,531,1.2,8,28,Medallion Leasin
660028,02/21/2019 12:30:00 PM,300,1.0,32,28,Globe Taxi
660029,02/21/2019 12:30:00 PM,386,1.06,32,8,Chicago Carriage Cab Corp
660030,02/21/2019 12:30:00 PM,480,0.8,8,32,Chicago Independents
660031,02/21/2019 12:30:00 PM,462,0.83,33,32,5 Star Taxi
660032,02/21/2019 12:30:00 PM,300,0.6,32,32,Medallion Leasin
660033,02/21/2019 12:30:00 PM,213,0.65,8,8,City Service
660034,02/21/2019 12:30:00 PM,323,0.8,8,8,Patriot Taxi Dba Peace Taxi Associat
660035,02/21/2019 12:30:00 PM,480,1.3,28,8,Globe Taxi
660036,02/21/2019 12:30:00 PM,358,0.94,8,32,City Service
660037,02/21/2019 12:30:00 PM,480,1.2,32,28,Globe Taxi
660038,02/21/2019 12:30:00 PM,239,0.71,4,4,Flash Cab
660039,02/21/2019 12:30:00 PM,300,0.6,32,32,City Service
660040,02/21/2019 12:30:00 PM,483,1.94,32,7,City Service
660041,02/21/2019 12:30:00 PM,556,1.0,32,8,City Service
660042,02/21/2019 12:30:00 PM,470,1.2,32,8,Flash Cab
660043,02/21/2019 12:30:00 PM,367,0.81,32,32,Chicago Carriage Cab Corp
660044,02/21/2019 12:30:00 PM,586,1.2,28,28,Flash Cab
660045,02/21/2019 12:30:00 PM,473,1.1,8,8,Globe Taxi
