,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
760000,02/27/2019 07:45:00 PM,300,0.9,8,8,Globe Taxi
760001,02/27/2019 07:45:00 PM,471,0.75,8,8,Chicago Carriage Cab Corp
760002,02/27/2019 07:45:00 PM,584,1.3,32,28,Medallion Leasin
760003,02/27/2019 07:45:00 PM,223,0.75,8,7,Sun Taxi
760004,02/27/2019 07:45:00 PM,464,1.21,8,8,Flash Cab
760005,02/27/2019 07:45:00 PM,562,1.66,28,8,Sun Taxi
760006,02/27/2019 07:45:00 PM,360,1.0,8,8,Medallion Leasin
760007,02/27/2019 07:45:00 PM,375,0.9,32,8,Medallion Leasin
760008,02/27/2019 07:45:00 PM,328,0.69,32,8,City Service
760009,02/27/2019 07:45:00 PM,324,0.92,8,8,Sun Taxi
760010,02/27/2019 07:45:00 PM,390,1.02,32,32,Sun Taxi
760011,02/27/2019 07:45:00 PM,393,0.81,8,32,Flash Cab
760012,02/27/2019 07:45:00 PM,494,1.16,32,8,Sun Taxi
760013,02/27/2019 07:45:00 PM,490,1.85,32,32,Nova Taxi Affiliation Llc
760014,02/27/2019 07:45:00 PM,202,0.77,8,8,Flash Cab
760015,02/27/2019 07:45:00 PM,513,1.58,32,8,City Service
760016,02/27/2019 07:45:00 PM,225,1.08,24,24,Sun Taxi
760017,02/27/2019 07:45:00 PM,581,1.8,32,28,Sun Taxi
760018,02/27/2019 07:45:00 PM,388,1.46,32,32,Chicago Carriage Cab Corp
760019,02/27/2019 07:45:00 PM,447,1.5,8,8,Chicago Carriage Cab Corp
760020,02/27/2019 07:45:00 PM,239,0.78,28,32,Sun Taxi
760021,02/27/2019 07:45:00 PM,543,1.61,8,28,Flash Cab
760022,02/27/2019 07:45:00 PM,504,1.29,32,28,Sun Taxi
760023,02/27/2019 07:45:00 PM,575,1.74,8,32,Chicago Carriage Cab Corp
760024,02/27/2019 07:45:00 PM,407,1.47,8,32,Sun Taxi
760025,02/27/2019 07:45:00 PM,318,1.15,32,8,Chicago Carriage Cab Corp
760026,02/27/2019 07:45:00 PM,420,1.4,76,28,Medallion Leasin
760027,02/27/2019 07:45:00 PM,548,1.81,7,8,Flash Cab
760028,02/27/2019 07:45:00 PM,370,1.06,32,8,Sun Taxi
760029,02/27/2019 07:45:00 PM,360,1.3,32,28,Metro Jet Taxi A
760030,02/27/2019 07:45:00 PM,369,0.81,32,8,Chicago Carriage Cab Corp
760031,02/27/2019 07:45:00 PM,238,0.6,8,8,Medallion Leasin
760032,02/27/2019 07:45:00 PM,420,1.32,8,28,Chicago Carriage Cab Corp
760033,02/27/2019 07:45:00 PM,515,1.05,8,8,Patriot Taxi Dba Peace Taxi Associat
760034,02/27/2019 07:45:00 PM,326,0.89,32,32,City Service
760035,02/27/2019 07:45:00 PM,480,1.9,77,77,Chicago Independents
760036,02/27/2019 07:45:00 PM,262,0.59,8,8,Chicago Carriage Cab Corp
760037,02/27/2019 07:45:00 PM,271,1.06,32,8,Chicago Carriage Cab Corp
760038,02/27/2019 07:45:00 PM,259,0.73,32,32,Sun Taxi
760039,02/27/2019 07:45:00 PM,365,1.27,34,33,Sun Taxi
760040,02/27/2019 07:45:00 PM,280,0.7,8,8,Chicago Carriage Cab Corp
760041,02/27/2019 07:45:00 PM,334,1.14,32,8,Chicago Carriage Cab Corp
760042,02/27/2019 07:45:00 PM,399,1.36,8,8,Chicago Carriage Cab Corp
760043,02/27/2019 07:45:00 PM,300,0.8,8,8,Globe Taxi
760044,02/27/2019 07:45:00 PM,287,1.1,8,8,Medallion Leasin
760045,02/27/2019 07:45:00 PM,239,0.7,8,8,Chicago Carriage Cab Corp
760046,02/27/2019 07:45:00 PM,345,1.04,8,8,Chicago Carriage Cab Corp
760047,02/27/2019 07:45:00 PM,300,0.7,8,8,Sun Taxi
760048,02/27/2019 07:45:00 PM,300,0.7,32,32,Sun Taxi
