,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
770000,02/28/2019 01:15:00 PM,588,0.88,8,32,Sun Taxi
770001,02/28/2019 01:15:00 PM,512,1.24,8,32,Chicago Carriage Cab Corp
770002,02/28/2019 01:15:00 PM,329,0.97,8,8,Nova Taxi Affiliation Llc
770003,02/28/2019 01:15:00 PM,377,1.3,28,8,Medallion Leasin
770004,02/28/2019 01:15:00 PM,480,1.1,32,8,Medallion Leasin
770005,02/28/2019 01:15:00 PM,404,1.14,8,28,Chicago Carriage Cab Corp
770006,02/28/2019 01:15:00 PM,301,1.13,8,8,City Service
770007,02/28/2019 01:15:00 PM,360,1.0,32,8,Medallion Leasin
770008,02/28/2019 01:15:00 PM,577,1.48,8,8,City Service
770009,02/28/2019 01:15:00 PM,593,1.44,32,32,Flash Cab
770010,02/28/2019 01:15:00 PM,320,1.05,28,32,Flash Cab
770011,02/28/2019 01:15:00 PM,315,0.8,32,28,Medallion Leasin
770012,02/28/2019 01:15:00 PM,480,1.3,32,28,Medallion Leasin
770013,02/28/2019 01:15:00 PM,261,0.59,8,32,Chicago Carriage Cab Corp
770014,02/28/2019 01:15:00 PM,468,1.09,7,7,Flash Cab
770015,02/28/2019 01:15:00 PM,235,0.63,8,32,Chicago Carriage Cab Corp
770016,02/28/2019 01:15:00 PM,283,0.62,8,28,Chicago Carriage Cab Corp
770017,02/28/2019 01:15:00 PM,474,1.12,8,8,24 Seven Taxi
770018,02/28/2019 01:15:00 PM,456,1.98,32,33,Chicago Carriage Cab Corp
770019,02/28/2019 01:15:00 PM,493,1.14,28,32,Nova Taxi Affiliation Llc
770020,02/28/2019 01:15:00 PM,582,1.2,32,8,City Service
770021,02/28/2019 01:15:00 PM,369,0.9,8,8,Medallion Leasin
770022,02/28/2019 01:15:00 PM,559,1.78,41,41,Flash Cab
770023,02/28/2019 01:15:00 PM,535,1.28,32,28,Flash Cab
770024,02/28/2019 01:15:00 PM,420,1.1,32,8,Medallion Leasin
770025,02/28/2019 01:15:00 PM,500,1.45,8,32,Nova Taxi Affiliation Llc
770026,02/28/2019 01:15:00 PM,477,0.98,32,28,Sun Taxi
770027,02/28/2019 01:15:00 PM,349,0.93,8,8,Chicago Carriage Cab Corp
770028,02/28/2019 01:15:00 PM,193,0.7,32,32,Chicago Carriage Cab Corp
770029,02/28/2019 01:15:00 PM,441,1.03,8,32,City Service
770030,02/28/2019 01:15:00 PM,506,1.51,32,8,Chicago Carriage Cab Corp
770031,02/28/2019 01:15:00 PM,420,0.7,28,32,Medallion Leasin
770032,02/28/2019 01:15:00 PM,489,1.32,8,8,Chicago Carriage Cab Corp
770033,02/28/2019 01:15:00 PM,582,1.0,8,32,Medallion Leasin
770034,02/28/2019 01:15:00 PM,240,0.8,8,32,Medallion Leasin
770035,02/28/2019 01:15:00 PM,593,0.88,32,32,Chicago Carriage Cab Corp
770036,02/28/2019 01:15:00 PM,477,1.27,32,28,Nova Taxi Affiliation Llc
770037,02/28/2019 01:15:00 PM,519,1.9,8,28,City Service
770038,02/28/2019 01:15:00 PM,377,0.89,8,8,Sun Taxi
770039,02/28/2019 01:15:00 PM,483,1.17,32,32,Chicago Carriage Cab Corp
770040,02/28/2019 01:15:00 PM,485,1.36,8,32,Patriot Taxi Dba Peace Taxi Associat
770041,02/28/2019 01:15:00 PM,259,0.63,8,8,Flash Cab
770042,02/28/2019 01:15:00 PM,452,1.08,32,32,5 Star Taxi
770043,02/28/2019 01:15:00 PM,367,1.2,32,8,Flash Cab
770044,02/28/2019 01:15:00 PM,540,1.2,32,24,Chicago Independents
770045,02/28/2019 01:15:00 PM,360,0.9,32,32,City Service
770046,02/28/2019 01:15:00 PM,473,1.1,32,32,Flash Cab
770047,02/28/2019 01:15:00 PM,359,0.83,8,8,Chicago Carriage Cab Corp
770048,02/28/2019 01:15:00 PM,308,1.34,32,32,Sun Taxi
770049,02/28/2019 01:15:00 PM,251,1.01,59,59,Flash Cab
770050,02/28/2019 01:15:00 PM,442,1.57,8,8,Sun Taxi
770051,02/28/2019 01:15:00 PM,300,0.7,32,28,Medallion Leasin
770052,02/28/2019 01:15:00 PM,566,1.1,8,32,Chicago Taxicab
770053,02/28/2019 01:15:00 PM,279,0.78,28,28,City Service
770054,02/28/2019 01:15:00 PM,270,0.75,32,28,Chicago Carriage Cab Corp
770055,02/28/2019 01:15:00 PM,431,1.48,32,8,Sun Taxi
770056,02/28/2019 01:15:00 PM,303,0.8,32,32,Chicago Carriage Cab Corp
770057,02/28/2019 01:15:00 PM,412,1.43,8,8,Sun Taxi
770058,02/28/2019 01:15:00 PM,380,0.61,32,32,Chicago Carriage Cab Corp
770059,02/28/2019 01:15:00 PM,282,0.56,8,32,Sun Taxi
770060,02/28/2019 01:15:00 PM,480,1.3,28,28,Globe Taxi
770061,02/28/2019 01:15:00 PM,417,0.96,32,32,Chicago Carriage Cab Corp
770062,02/28/2019 01:15:00 PM,268,0.74,32,7,Sun Taxi
770063,02/28/2019 01:15:00 PM,597,1.25,32,8,Patriot Taxi Dba Peace Taxi Associat
770064,02/28/2019 01:15:00 PM,291,0.67,32,32,Sun Taxi
770065,02/28/2019 01:15:00 PM,426,1.01,32,8,Sun Taxi
770066,02/28/2019 01:15:00 PM,409,1.25,32,32,Chicago Carriage Cab Corp
770067,02/28/2019 01:15:00 PM,515,1.76,5,3,Flash Cab
770068,02/28/2019 01:15:00 PM,401,1.15,8,8,Patriot Taxi Dba Peace Taxi Associat
770069,02/28/2019 01:15:00 PM,438,1.22,3,3,Flash Cab
770070,02/28/2019 01:15:00 PM,440,0.89,28,32,Chicago Carriage Cab Corp
770071,02/28/2019 01:15:00 PM,351,0.77,8,32,5 Star Taxi
770072,02/28/2019 01:15:00 PM,540,1.5,32,8,Globe Taxi
770073,02/28/2019 01:15:00 PM,409,0.84,28,32,City Service
770074,02/28/2019 01:15:00 PM,274,0.76,8,8,Flash Cab
770075,02/28/2019 01:15:00 PM,328,1.47,6,6,Nova Taxi Affiliation Llc
770076,02/28/2019 01:15:00 PM,267,0.6,7,32,Sun Taxi
770077,02/28/2019 01:15:00 PM,234,0.67,32,28,City Service
770078,02/28/2019 01:15:00 PM,513,0.94,32,8,Chicago Carriage Cab Corp
770079,02/28/2019 01:15:00 PM,339,1.16,24,24,Flash Cab
770080,02/28/2019 01:15:00 PM,300,1.0,41,41,Chicago Independents
770081,02/28/2019 01:15:00 PM,540,1.6,8,32,Medallion Leasin
770082,02/28/2019 01:15:00 PM,240,0.9,32,28,Globe Taxi
770083,02/28/2019 01:15:00 PM,427,0.8,8,32,Chicago Carriage Cab Corp
770084,02/28/2019 01:15:00 PM,240,0.9,8,8,Sun Taxi
770085,02/28/2019 01:15:00 PM,420,0.8,8,32,Globe Taxi
770086,02/28/2019 01:15:00 PM,300,1.0,8,32,Medallion Leasin
770087,02/28/2019 01:15:00 PM,530,0.82,32,28,Chicago Carriage Cab Corp
770088,02/28/2019 01:15:00 PM,589,1.25,32,8,City Service
770089,02/28/2019 01:15:00 PM,300,0.6,32,28,Sun Taxi
770090,02/28/2019 01:15:00 PM,245,0.59,8,32,City Service
770091,02/28/2019 01:15:00 PM,438,1.2,28,28,Flash Cab
770092,02/28/2019 01:15:00 PM,565,1.6,32,8,Flash Cab
770093,02/28/2019 01:15:00 PM,192,1.0,8,8,Flash Cab
770094,02/28/2019 01:15:00 PM,436,1.0,8,28,Flash Cab
770095,02/28/2019 01:15:00 PM,429,0.9,32,28,Flash Cab
770096,02/28/2019 01:15:00 PM,583,1.1,32,28,Flash Cab
770097,02/28/2019 01:15:00 PM,351,0.9,8,32,Flash Cab
770098,02/28/2019 01:15:00 PM,432,0.9,32,32,Flash Cab
770099,02/28/2019 01:15:00 PM,228,1.2,38,37,Flash Cab
770100,02/28/2019 01:15:00 PM,342,0.7,8,28,Flash Cab
