,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
780000,02/28/2019 09:30:00 PM,225,0.81,32,32,Flash Cab
780001,02/28/2019 09:30:00 PM,395,1.31,32,8,Chicago Carriage Cab Corp
780002,02/28/2019 09:30:00 PM,334,1.3,8,32,Chicago Carriage Cab Corp
780003,02/28/2019 09:30:00 PM,350,0.82,8,8,Chicago Carriage Cab Corp
780004,02/28/2019 09:30:00 PM,271,0.7,8,8,Medallion Leasin
780005,02/28/2019 09:30:00 PM,420,1.4,8,28,Globe Taxi
780006,02/28/2019 09:30:00 PM,353,1.2,28,28,Leonard Cab Co
780007,02/28/2019 09:30:00 PM,569,1.6,32,33,Flash Cab
780008,02/28/2019 09:30:00 PM,455,1.26,28,32,Patriot Taxi Dba Peace Taxi Associat
780009,02/28/2019 09:30:00 PM,393,1.16,8,32,Flash Cab
780010,02/28/2019 09:30:00 PM,420,1.6,28,8,Medallion Leasin
780011,02/28/2019 09:30:00 PM,495,1.9,8,8,Medallion Leasin
780012,02/28/2019 09:30:00 PM,245,0.97,8,8,Sun Taxi
780013,02/28/2019 09:30:00 PM,240,0.8,32,8,Globe Taxi
780014,02/28/2019 09:30:00 PM,480,1.3,8,32,Sun Taxi
780015,02/28/2019 09:30:00 PM,352,0.87,8,8,Chicago Carriage Cab Corp
780016,02/28/2019 09:30:00 PM,275,1.07,8,8,Sun Taxi
780017,02/28/2019 09:30:00 PM,488,1.29,8,24,Flash Cab
780018,02/28/2019 09:30:00 PM,478,1.43,32,33,Flash Cab
780019,02/28/2019 09:30:00 PM,300,0.9,8,8,Globe Taxi
780020,02/28/2019 09:30:00 PM,387,1.47,28,8,Sun Taxi
780021,02/28/2019 09:30:00 PM,310,0.6,8,8,Medallion Leasin
780022,02/28/2019 09:30:00 PM,567,1.56,2,1,Flash Cab
780023,02/28/2019 09:30:00 PM,305,1.0,8,8,Medallion Leasin
780024,02/28/2019 09:30:00 PM,348,1.1,33,35,City Service
780025,02/28/2019 09:30:00 PM,296,1.14,32,32,Sun Taxi
780026,02/28/2019 09:30:00 PM,554,1.75,28,8,Chicago Carriage Cab Corp
780027,02/28/2019 09:30:00 PM,252,0.86,32,28,Chicago Carriage Cab Corp
780028,02/28/2019 09:30:00 PM,245,0.64,8,8,Chicago Carriage Cab Corp
780029,02/28/2019 09:30:00 PM,455,1.24,28,28,Chicago Carriage Cab Corp
780030,02/28/2019 09:30:00 PM,410,1.0,8,28,Flash Cab
780031,02/28/2019 09:30:00 PM,263,0.9,32,28,Flash Cab
780032,02/28/2019 09:30:00 PM,539,1.6,8,32,Flash Cab
780033,02/28/2019 09:30:00 PM,466,1.4,11,15,Flash Cab
780034,02/28/2019 09:30:00 PM,451,1.2,28,32,Flash Cab
780035,02/28/2019 09:30:00 PM,286,0.7,32,32,Flash Cab
780036,02/28/2019 09:45:00 PM,300,1.1,8,8,Star North Management LLC
780037,02/28/2019 09:45:00 PM,360,0.7,8,8,KOAM Taxi Association
780038,02/28/2019 09:45:00 PM,420,0.8,8,32,"Taxicab Insurance Agency, LLC"
780039,02/28/2019 09:45:00 PM,360,1.1,32,8,Taxi Affiliation Services
780040,02/28/2019 09:45:00 PM,420,1.6,8,8,Taxi Affiliation Services
780041,02/28/2019 09:45:00 PM,480,1.3,8,32,Taxi Affiliation Services
780042,02/28/2019 09:45:00 PM,240,0.8,8,8,Taxi Affiliation Services
780043,02/28/2019 09:45:00 PM,240,0.9,8,8,Taxi Affiliation Services
780044,02/28/2019 09:45:00 PM,240,0.9,6,6,Top Cab Affiliation
780045,02/28/2019 09:45:00 PM,360,1.3,32,8,Taxi Affiliation Services
780046,02/28/2019 09:45:00 PM,300,1.1,28,24,Taxi Affiliation Services
780047,02/28/2019 09:45:00 PM,300,0.8,8,8,Taxi Affiliation Services
780048,02/28/2019 09:45:00 PM,360,1.3,6,7,Taxi Affiliation Services
780049,02/28/2019 09:45:00 PM,360,1.1,8,8,Top Cab Affiliation
780050,02/28/2019 09:45:00 PM,1860,1.1,76,32,Blue Ribbon Taxi Association Inc.
780051,02/28/2019 09:45:00 PM,480,1.3,8,8,Taxi Affiliation Services
780052,02/28/2019 09:45:00 PM,240,0.9,28,8,Star North Management LLC
780053,02/28/2019 09:45:00 PM,420,1.6,32,33,Star North Management LLC
