,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
70000,01/07/2019 08:15:00 PM,420,1.8,32,24,"Taxicab Insurance Agency, LLC"
70001,01/07/2019 08:15:00 PM,540,1.3,28,8,312 Medallion Management Corp
70002,01/07/2019 08:15:00 PM,360,1.1,32,28,Taxi Affiliation Services
70003,01/07/2019 08:15:00 PM,557,1.15,32,8,Nova Taxi Affiliation Llc
70004,01/07/2019 08:15:00 PM,374,1.26,8,32,Sun Taxi
70005,01/07/2019 08:15:00 PM,450,1.67,32,32,City Service
70006,01/07/2019 08:15:00 PM,424,1.2,8,8,Sun Taxi
70007,01/07/2019 08:15:00 PM,217,0.7,32,28,Taxi Affiliation Service Yellow
70008,01/07/2019 08:15:00 PM,300,1.6,28,28,Globe Taxi
70009,01/07/2019 08:15:00 PM,300,0.9,8,32,Medallion Leasin
70010,01/07/2019 08:15:00 PM,420,1.22,32,8,Taxi Affiliation Service Yellow
70011,01/07/2019 08:15:00 PM,497,1.6,8,32,Taxi Affiliation Service Yellow
70012,01/07/2019 08:15:00 PM,312,0.69,8,8,Chicago Carriage Cab Corp
70013,01/07/2019 08:15:00 PM,421,1.1,32,28,City Service
70014,01/07/2019 08:15:00 PM,384,1.07,32,8,Sun Taxi
70015,01/07/2019 08:15:00 PM,522,1.52,28,32,Chicago Carriage Cab Corp
70016,01/07/2019 08:15:00 PM,403,1.49,32,28,Chicago Carriage Cab Corp
70017,01/07/2019 08:15:00 PM,379,0.88,32,8,Flash Cab
70018,01/07/2019 08:15:00 PM,497,1.17,8,32,Flash Cab
70019,01/07/2019 08:15:00 PM,279,0.88,28,28,Chicago Carriage Cab Corp
70020,01/07/2019 08:15:00 PM,198,0.6,32,28,City Service
70021,01/07/2019 08:15:00 PM,272,0.6,32,32,Taxi Affiliation Service Yellow
70022,01/07/2019 08:15:00 PM,415,0.89,8,8,Sun Taxi
70023,01/07/2019 08:15:00 PM,510,1.59,32,8,Chicago Carriage Cab Corp
70024,01/07/2019 08:15:00 PM,540,1.6,8,28,Sun Taxi
70025,01/07/2019 08:15:00 PM,446,1.15,8,8,Sun Taxi
70026,01/07/2019 08:15:00 PM,455,1.49,8,8,Nova Taxi Affiliation Llc
70027,01/07/2019 08:15:00 PM,410,1.1,33,32,Taxi Affiliation Service Yellow
70028,01/07/2019 08:15:00 PM,458,1.72,32,32,Chicago Carriage Cab Corp
70029,01/07/2019 08:15:00 PM,286,0.89,8,8,Flash Cab
