,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
800000,03/02/2019 02:00:00 AM,300,1.22,16,14,Patriot Taxi Dba Peace Taxi Associat
800001,03/02/2019 02:00:00 AM,198,0.55,28,24,Patriot Taxi Dba Peace Taxi Associat
800002,03/02/2019 02:00:00 AM,569,1.42,8,8,Chicago Carriage Cab Corp
800003,03/02/2019 02:00:00 AM,338,0.8,32,32,City Service
800004,03/02/2019 02:00:00 AM,290,0.86,8,8,Nova Taxi Affiliation Llc
800005,03/02/2019 02:00:00 AM,443,1.67,6,3,Flash Cab
800006,03/02/2019 02:00:00 AM,366,0.65,8,8,Flash Cab
800007,03/02/2019 02:00:00 AM,244,1.12,8,8,Chicago Carriage Cab Corp
800008,03/02/2019 02:00:00 AM,295,0.88,32,8,Flash Cab
800009,03/02/2019 02:00:00 AM,240,0.6,8,8,Medallion Leasin
800010,03/02/2019 02:00:00 AM,360,1.2,8,24,Globe Taxi
800011,03/02/2019 02:00:00 AM,360,1.3,28,8,City Service
800012,03/02/2019 02:00:00 AM,300,1.0,8,24,City Service
800013,03/02/2019 02:00:00 AM,260,0.71,1,77,Chicago Carriage Cab Corp
800014,03/02/2019 02:00:00 AM,300,1.0,8,32,Medallion Leasin
800015,03/02/2019 02:00:00 AM,246,0.77,77,1,Chicago Carriage Cab Corp
800016,03/02/2019 02:00:00 AM,214,0.6,8,28,Flash Cab
800017,03/02/2019 02:00:00 AM,415,1.0,8,8,Flash Cab
800018,03/02/2019 02:00:00 AM,202,1.1,24,24,Flash Cab
800019,03/02/2019 02:00:00 AM,228,0.7,8,8,Flash Cab
800020,03/02/2019 02:00:00 AM,529,1.7,32,32,Flash Cab
800021,03/02/2019 02:00:00 AM,396,1.1,8,8,Flash Cab
800022,03/02/2019 02:00:00 AM,324,1.7,24,24,Flash Cab
800023,03/02/2019 02:15:00 AM,540,1.8,8,32,Chicago Medallion Management
800024,03/02/2019 02:15:00 AM,240,0.8,24,24,Taxi Affiliation Services
800025,03/02/2019 02:15:00 AM,360,1.2,8,8,Choice Taxi Association
800026,03/02/2019 02:15:00 AM,540,1.8,8,8,Star North Management LLC
800027,03/02/2019 02:15:00 AM,420,1.8,6,3,Taxi Affiliation Services
800028,03/02/2019 02:15:00 AM,300,0.9,8,8,KOAM Taxi Association
800029,03/02/2019 02:15:00 AM,300,1.3,32,28,Taxi Affiliation Services
