,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
810000,03/03/2019 12:30:00 AM,244,0.52,8,32,Chicago Carriage Cab Corp
810001,03/03/2019 12:30:00 AM,591,1.4,8,8,City Service
810002,03/03/2019 12:30:00 AM,360,0.7,8,8,Chicago Independents
810003,03/03/2019 12:30:00 AM,297,1.03,8,8,City Service
810004,03/03/2019 12:30:00 AM,365,0.52,8,8,Flash Cab
810005,03/03/2019 12:30:00 AM,270,0.83,7,7,Chicago Carriage Cab Corp
810006,03/03/2019 12:30:00 AM,466,1.0,8,8,Chicago Carriage Cab Corp
810007,03/03/2019 12:30:00 AM,232,1.06,8,7,Chicago Carriage Cab Corp
810008,03/03/2019 12:30:00 AM,514,1.82,32,8,Chicago Carriage Cab Corp
810009,03/03/2019 12:30:00 AM,427,0.9,8,32,Flash Cab
810010,03/03/2019 12:30:00 AM,259,0.85,8,8,City Service
810011,03/03/2019 12:30:00 AM,245,0.8,28,32,Chicago Carriage Cab Corp
810012,03/03/2019 12:30:00 AM,278,1.02,8,8,Sun Taxi
810013,03/03/2019 12:30:00 AM,461,1.69,8,8,Flash Cab
810014,03/03/2019 12:30:00 AM,546,1.09,8,8,Flash Cab
810015,03/03/2019 12:30:00 AM,456,0.99,8,8,Flash Cab
810016,03/03/2019 12:30:00 AM,250,0.84,41,41,Flash Cab
810017,03/03/2019 12:30:00 AM,200,0.61,4,4,Flash Cab
810018,03/03/2019 12:30:00 AM,370,0.93,3,6,Flash Cab
810019,03/03/2019 12:30:00 AM,411,1.63,41,28,Flash Cab
810020,03/03/2019 12:30:00 AM,342,0.97,8,32,Flash Cab
810021,03/03/2019 12:30:00 AM,222,0.83,7,7,Sun Taxi
810022,03/03/2019 12:30:00 AM,540,1.7,8,28,Medallion Leasin
810023,03/03/2019 12:30:00 AM,240,0.9,8,8,Medallion Leasin
810024,03/03/2019 12:30:00 AM,427,1.49,8,32,Chicago Carriage Cab Corp
810025,03/03/2019 12:30:00 AM,571,1.54,8,8,Sun Taxi
810026,03/03/2019 12:30:00 AM,264,1.1,8,32,Flash Cab
810027,03/03/2019 12:30:00 AM,506,1.9,7,6,Flash Cab
810028,03/03/2019 12:30:00 AM,260,1.0,11,11,Flash Cab
810029,03/03/2019 12:30:00 AM,501,1.7,8,7,Flash Cab
