,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
840000,03/05/2019 10:00:00 AM,410,1.39,8,8,Chicago Carriage Cab Corp
840001,03/05/2019 10:00:00 AM,360,0.7,32,32,Globe Taxi
840002,03/05/2019 10:00:00 AM,401,1.1,8,8,Medallion Leasin
840003,03/05/2019 10:00:00 AM,458,1.34,32,28,Chicago Carriage Cab Corp
840004,03/05/2019 10:00:00 AM,341,0.67,77,77,Flash Cab
840005,03/05/2019 10:00:00 AM,211,0.65,8,32,Chicago Carriage Cab Corp
840006,03/05/2019 10:00:00 AM,268,0.83,28,32,Sun Taxi
840007,03/05/2019 10:00:00 AM,262,0.63,32,8,Sun Taxi
840008,03/05/2019 10:00:00 AM,360,1.0,28,28,Globe Taxi
840009,03/05/2019 10:00:00 AM,479,0.84,2,2,Flash Cab
840010,03/05/2019 10:00:00 AM,570,1.17,28,32,Chicago Carriage Cab Corp
840011,03/05/2019 10:00:00 AM,262,0.61,8,8,Flash Cab
840012,03/05/2019 10:00:00 AM,420,1.3,32,32,Globe Taxi
840013,03/05/2019 10:00:00 AM,265,0.62,8,8,City Service
840014,03/05/2019 10:00:00 AM,387,1.61,32,28,Chicago Carriage Cab Corp
840015,03/05/2019 10:00:00 AM,589,1.27,8,32,Sun Taxi
840016,03/05/2019 10:00:00 AM,398,0.54,32,32,Sun Taxi
840017,03/05/2019 10:00:00 AM,326,0.8,28,28,Medallion Leasin
840018,03/05/2019 10:00:00 AM,240,0.9,32,8,Globe Taxi
840019,03/05/2019 10:00:00 AM,384,1.1,8,32,City Service
840020,03/05/2019 10:00:00 AM,480,1.0,32,32,Medallion Leasin
840021,03/05/2019 10:00:00 AM,480,1.4,8,32,Medallion Leasin
840022,03/05/2019 10:00:00 AM,459,1.37,32,33,Flash Cab
840023,03/05/2019 10:00:00 AM,450,1.46,8,8,City Service
840024,03/05/2019 10:00:00 AM,360,1.0,8,32,Globe Taxi
840025,03/05/2019 10:00:00 AM,420,0.8,8,8,Medallion Leasin
840026,03/05/2019 10:00:00 AM,240,0.7,32,8,Globe Taxi
840027,03/05/2019 10:00:00 AM,449,0.83,28,32,Flash Cab
840028,03/05/2019 10:00:00 AM,316,0.7,32,32,Flash Cab
840029,03/05/2019 10:00:00 AM,492,0.9,8,32,Flash Cab
840030,03/05/2019 10:00:00 AM,335,0.7,32,8,Flash Cab
840031,03/05/2019 10:00:00 AM,411,0.8,32,32,Flash Cab
840032,03/05/2019 10:00:00 AM,543,1.6,8,32,Flash Cab
840033,03/05/2019 10:00:00 AM,324,1.0,59,59,Flash Cab
840034,03/05/2019 10:00:00 AM,304,0.9,32,8,Flash Cab
840035,03/05/2019 10:15:00 AM,420,0.7,28,32,Taxi Affiliation Services
840036,03/05/2019 10:15:00 AM,420,0.8,32,28,Star North Management LLC
840037,03/05/2019 10:15:00 AM,2880,1.0,76,32,Blue Ribbon Taxi Association Inc.
840038,03/05/2019 10:15:00 AM,360,1.0,8,32,Star North Management LLC
840039,03/05/2019 10:15:00 AM,480,0.6,32,32,Star North Management LLC
840040,03/05/2019 10:15:00 AM,540,1.1,28,32,Choice Taxi Association
840041,03/05/2019 10:15:00 AM,3600,1.1,76,32,Taxi Affiliation Services
840042,03/05/2019 10:15:00 AM,3300,1.1,76,32,Blue Ribbon Taxi Association Inc.
840043,03/05/2019 10:15:00 AM,540,0.6,28,8,"Taxicab Insurance Agency, LLC"
840044,03/05/2019 10:15:00 AM,420,1.5,3,77,Taxi Affiliation Services
840045,03/05/2019 10:15:00 AM,300,0.6,28,8,Taxi Affiliation Services
840046,03/05/2019 10:15:00 AM,360,0.7,8,8,Taxi Affiliation Services
840047,03/05/2019 10:15:00 AM,420,1.2,8,32,Taxi Affiliation Services
840048,03/05/2019 10:15:00 AM,420,0.7,28,32,Choice Taxi Association
840049,03/05/2019 10:15:00 AM,420,1.1,28,8,Star North Management LLC
840050,03/05/2019 10:15:00 AM,2820,1.0,76,28,Taxi Affiliation Services
840051,03/05/2019 10:15:00 AM,480,0.7,32,32,Star North Management LLC
840052,03/05/2019 10:15:00 AM,540,0.7,32,32,Chicago Medallion Management
840053,03/05/2019 10:15:00 AM,480,0.9,28,32,Star North Management LLC
840054,03/05/2019 10:15:00 AM,240,1.0,1,1,6743 - 78771 Luhak Corp
840055,03/05/2019 10:15:00 AM,360,0.9,8,8,Choice Taxi Association
840056,03/05/2019 10:15:00 AM,420,0.7,32,8,Choice Taxi Association
840057,03/05/2019 10:15:00 AM,480,1.2,8,8,Choice Taxi Association
840058,03/05/2019 10:15:00 AM,480,1.0,8,32,3623 - 72222 Arrington Enterprises
840059,03/05/2019 10:15:00 AM,540,0.7,32,8,Taxi Affiliation Services
840060,03/05/2019 10:15:00 AM,2100,1.1,32,76,Taxi Affiliation Services
840061,03/05/2019 10:15:00 AM,540,1.3,32,8,"Taxicab Insurance Agency, LLC"
840062,03/05/2019 10:15:00 AM,240,0.6,28,32,Chicago Medallion Management
840063,03/05/2019 10:15:00 AM,3060,1.0,76,32,Blue Ribbon Taxi Association Inc.
840064,03/05/2019 10:15:00 AM,2400,1.3,33,76,Blue Ribbon Taxi Association Inc.
840065,03/05/2019 10:15:00 AM,420,1.3,6,3,Taxi Affiliation Services
840066,03/05/2019 10:15:00 AM,480,0.6,28,32,Taxi Affiliation Services
840067,03/05/2019 10:15:00 AM,360,0.8,8,32,Taxi Affiliation Services
840068,03/05/2019 10:15:00 AM,540,0.9,8,8,Taxi Affiliation Services
840069,03/05/2019 10:15:00 AM,540,1.0,32,32,Star North Management LLC
840070,03/05/2019 10:15:00 AM,300,0.6,32,32,Star North Management LLC
840071,03/05/2019 10:15:00 AM,360,1.1,28,28,Taxi Affiliation Services
840072,03/05/2019 10:15:00 AM,2940,1.0,76,8,Taxi Affiliation Services
840073,03/05/2019 10:15:00 AM,540,0.9,28,32,Taxi Affiliation Services
840074,03/05/2019 10:15:00 AM,240,0.7,32,8,Star North Management LLC
840075,03/05/2019 10:15:00 AM,420,0.8,8,32,Taxi Affiliation Services
840076,03/05/2019 10:15:00 AM,300,0.7,32,28,Star North Management LLC
840077,03/05/2019 10:15:00 AM,240,0.7,60,60,Taxi Affiliation Services
840078,03/05/2019 10:15:00 AM,300,0.9,8,8,Taxi Affiliation Services
840079,03/05/2019 10:15:00 AM,480,1.1,32,32,Chicago Medallion Management
840080,03/05/2019 10:15:00 AM,540,0.7,28,8,Star North Management LLC
840081,03/05/2019 10:15:00 AM,480,0.8,8,32,Taxi Affiliation Services
840082,03/05/2019 10:15:00 AM,360,0.7,32,8,Blue Ribbon Taxi Association Inc.
840083,03/05/2019 10:15:00 AM,360,0.7,32,32,Star North Management LLC
840084,03/05/2019 10:15:00 AM,540,0.9,28,32,"Taxicab Insurance Agency, LLC"
840085,03/05/2019 10:15:00 AM,2100,0.7,56,28,Blue Ribbon Taxi Association Inc.
840086,03/05/2019 10:15:00 AM,300,0.8,32,8,3623 - 72222 Arrington Enterprises
840087,03/05/2019 10:15:00 AM,540,1.3,8,32,Star North Management LLC
840088,03/05/2019 10:15:00 AM,540,1.1,8,8,Choice Taxi Association
840089,03/05/2019 10:15:00 AM,420,0.6,8,8,KOAM Taxi Association
840090,03/05/2019 10:15:00 AM,480,1.3,8,32,Taxi Affiliation Services
840091,03/05/2019 10:15:00 AM,300,0.7,32,8,Choice Taxi Association
840092,03/05/2019 10:15:00 AM,2040,0.6,56,8,Taxi Affiliation Services
840093,03/05/2019 10:15:00 AM,420,1.0,8,32,Star North Management LLC
840094,03/05/2019 10:15:00 AM,420,0.7,28,32,Choice Taxi Association
840095,03/05/2019 10:15:00 AM,240,0.6,8,8,Taxi Affiliation Services
840096,03/05/2019 10:15:00 AM,480,0.9,28,28,Top Cab Affiliation
840097,03/05/2019 10:15:00 AM,2400,1.1,32,76,Taxi Affiliation Services
840098,03/05/2019 10:15:00 AM,485,1.6,8,28,Taxi Affiliation Service Yellow
840099,03/05/2019 10:15:00 AM,395,0.7,28,32,Taxi Affiliation Service Yellow
840100,03/05/2019 10:15:00 AM,223,0.7,32,8,Chicago Carriage Cab Corp
840101,03/05/2019 10:15:00 AM,544,1.4,8,32,Blue Diamond
840102,03/05/2019 10:15:00 AM,309,1.0,8,8,Blue Diamond
840103,03/05/2019 10:15:00 AM,404,1.1,8,32,Checker Taxi Affiliation
840104,03/05/2019 10:15:00 AM,221,0.61,32,28,City Service
840105,03/05/2019 10:15:00 AM,548,1.26,32,8,Sun Taxi
840106,03/05/2019 10:15:00 AM,461,0.81,28,32,Taxi Affiliation Service Yellow
840107,03/05/2019 10:15:00 AM,232,0.8,8,28,Taxi Affiliation Service Yellow
840108,03/05/2019 10:15:00 AM,427,0.58,32,8,Taxi Affiliation Service Yellow
840109,03/05/2019 10:15:00 AM,589,1.8,28,24,City Service
840110,03/05/2019 10:15:00 AM,302,0.92,8,8,Blue Diamond
840111,03/05/2019 10:15:00 AM,486,1.33,32,8,Taxi Affiliation Service Yellow
840112,03/05/2019 10:15:00 AM,360,1.0,8,32,Sun Taxi
840113,03/05/2019 10:15:00 AM,480,0.6,8,8,Medallion Leasin
840114,03/05/2019 10:15:00 AM,269,1.2,41,39,Taxi Affiliation Service Yellow
840115,03/05/2019 10:15:00 AM,480,1.08,32,32,Taxi Affiliation Service Yellow
840116,03/05/2019 10:15:00 AM,214,0.8,32,28,American United Taxi Affiliation
