,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
850000,03/05/2019 06:00:00 PM,360,0.7,32,32,Chicago Medallion Management
850001,03/05/2019 06:00:00 PM,300,0.8,32,8,Taxi Affiliation Services
850002,03/05/2019 06:00:00 PM,420,1.0,8,32,Taxi Affiliation Services
850003,03/05/2019 06:00:00 PM,540,1.3,28,8,Star North Management LLC
850004,03/05/2019 06:00:00 PM,240,0.8,32,28,Choice Taxi Association
850005,03/05/2019 06:00:00 PM,420,1.3,8,32,Star North Management LLC
850006,03/05/2019 06:00:00 PM,300,0.7,32,32,Star North Management LLC
850007,03/05/2019 06:00:00 PM,3300,0.9,76,7,Blue Ribbon Taxi Association Inc.
850008,03/05/2019 06:00:00 PM,360,1.1,8,32,"Taxicab Insurance Agency, LLC"
850009,03/05/2019 06:00:00 PM,300,0.6,28,32,Star North Management LLC
850010,03/05/2019 06:00:00 PM,420,0.8,28,32,Taxi Affiliation Services
850011,03/05/2019 06:00:00 PM,360,0.9,32,32,Taxi Affiliation Services
850012,03/05/2019 06:00:00 PM,540,1.2,8,8,Choice Taxi Association
850013,03/05/2019 06:00:00 PM,3480,1.0,76,8,Taxi Affiliation Services
850014,03/05/2019 06:00:00 PM,480,1.7,28,8,Star North Management LLC
850015,03/05/2019 06:00:00 PM,420,0.8,32,28,Taxi Affiliation Services
850016,03/05/2019 06:00:00 PM,360,0.8,32,32,Taxi Affiliation Services
850017,03/05/2019 06:00:00 PM,540,1.4,7,24,Taxi Affiliation Services
850018,03/05/2019 06:00:00 PM,540,1.0,32,32,Star North Management LLC
850019,03/05/2019 06:00:00 PM,480,1.0,32,8,Star North Management LLC
850020,03/05/2019 06:00:00 PM,300,0.7,28,28,3620 - 52292 David K. Cab Corp.
850021,03/05/2019 06:00:00 PM,3420,1.1,32,76,Taxi Affiliation Services
850022,03/05/2019 06:00:00 PM,360,0.8,32,28,Star North Management LLC
850023,03/05/2019 06:00:00 PM,360,0.8,8,8,Choice Taxi Association
850024,03/05/2019 06:00:00 PM,540,0.8,32,32,Chicago Medallion Management
850025,03/05/2019 06:00:00 PM,540,0.9,28,32,"Taxicab Insurance Agency, LLC"
850026,03/05/2019 06:00:00 PM,240,0.6,32,32,Star North Management LLC
850027,03/05/2019 06:00:00 PM,360,1.1,32,32,KOAM Taxi Association
850028,03/05/2019 06:00:00 PM,480,1.6,3,4,Taxi Affiliation Services
850029,03/05/2019 06:00:00 PM,480,1.6,32,8,Star North Management LLC
850030,03/05/2019 06:00:00 PM,420,1.0,32,8,Star North Management LLC
850031,03/05/2019 06:00:00 PM,420,1.0,8,28,Choice Taxi Association
850032,03/05/2019 06:00:00 PM,240,0.6,32,28,"Taxicab Insurance Agency, LLC"
850033,03/05/2019 06:00:00 PM,360,1.0,33,34,Top Cab Affiliation
850034,03/05/2019 06:00:00 PM,540,1.1,8,8,Taxi Affiliation Services
850035,03/05/2019 06:00:00 PM,480,1.4,32,8,Star North Management LLC
850036,03/05/2019 06:00:00 PM,540,0.8,8,8,Taxi Affiliation Services
850037,03/05/2019 06:00:00 PM,420,0.7,8,8,"Taxicab Insurance Agency, LLC"
850038,03/05/2019 06:00:00 PM,240,0.7,32,28,Taxi Affiliation Services
850039,03/05/2019 06:00:00 PM,540,1.2,32,8,Taxi Affiliation Services
850040,03/05/2019 06:00:00 PM,480,1.1,8,32,Taxi Affiliation Services
850041,03/05/2019 06:00:00 PM,480,1.3,32,8,"Taxicab Insurance Agency, LLC"
850042,03/05/2019 06:00:00 PM,360,0.8,32,32,Taxi Affiliation Services
850043,03/05/2019 06:00:00 PM,420,1.0,8,32,Taxi Affiliation Services
850044,03/05/2019 06:00:00 PM,300,0.6,32,8,Taxi Affiliation Services
850045,03/05/2019 06:00:00 PM,480,1.2,32,28,"Taxicab Insurance Agency, LLC"
850046,03/05/2019 06:00:00 PM,480,1.1,8,8,Taxi Affiliation Services
850047,03/05/2019 06:00:00 PM,540,1.3,32,33,Star North Management LLC
850048,03/05/2019 06:00:00 PM,300,0.6,32,32,4623 - 27290 Jay Kim
850049,03/05/2019 06:00:00 PM,360,1.3,32,8,Taxi Affiliation Services
850050,03/05/2019 06:00:00 PM,480,1.0,8,32,Star North Management LLC
850051,03/05/2019 06:00:00 PM,540,1.5,8,8,Taxi Affiliation Services
850052,03/05/2019 06:00:00 PM,300,1.1,32,33,Taxi Affiliation Services
850053,03/05/2019 06:00:00 PM,300,0.6,8,32,Taxi Affiliation Services
850054,03/05/2019 06:00:00 PM,360,0.6,28,8,Choice Taxi Association
