,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
870000,03/06/2019 06:45:00 PM,278,0.92,32,8,Chicago Carriage Cab Corp
870001,03/06/2019 06:45:00 PM,486,1.1,28,28,City Service
870002,03/06/2019 06:45:00 PM,309,0.71,8,8,Sun Taxi
870003,03/06/2019 06:45:00 PM,438,1.3,32,32,City Service
870004,03/06/2019 06:45:00 PM,419,0.92,8,8,24 Seven Taxi
870005,03/06/2019 06:45:00 PM,482,1.36,32,8,24 Seven Taxi
870006,03/06/2019 06:45:00 PM,480,1.42,32,8,Patriot Taxi Dba Peace Taxi Associat
870007,03/06/2019 06:45:00 PM,229,0.77,7,76,Sun Taxi
870008,03/06/2019 06:45:00 PM,434,1.3,32,32,City Service
870009,03/06/2019 06:45:00 PM,503,1.47,8,32,Chicago Carriage Cab Corp
870010,03/06/2019 06:45:00 PM,420,1.4,8,28,Medallion Leasin
870011,03/06/2019 06:45:00 PM,566,0.93,8,32,Flash Cab
870012,03/06/2019 06:45:00 PM,449,1.55,32,33,City Service
870013,03/06/2019 06:45:00 PM,417,1.2,28,32,Medallion Leasin
870014,03/06/2019 06:45:00 PM,203,0.99,32,32,Sun Taxi
870015,03/06/2019 06:45:00 PM,360,1.4,32,8,Medallion Leasin
870016,03/06/2019 06:45:00 PM,267,0.82,8,32,Sun Taxi
870017,03/06/2019 06:45:00 PM,248,0.65,32,8,Sun Taxi
870018,03/06/2019 06:45:00 PM,419,1.09,32,32,Sun Taxi
870019,03/06/2019 06:45:00 PM,460,0.9,8,8,City Service
870020,03/06/2019 06:45:00 PM,434,0.76,32,32,Flash Cab
870021,03/06/2019 06:45:00 PM,420,0.9,32,8,Globe Taxi
870022,03/06/2019 06:45:00 PM,287,1.45,8,32,Sun Taxi
870023,03/06/2019 06:45:00 PM,274,1.1,38,36,Medallion Leasin
870024,03/06/2019 06:45:00 PM,263,0.68,32,32,Chicago Carriage Cab Corp
870025,03/06/2019 06:45:00 PM,236,0.63,32,28,Chicago Carriage Cab Corp
870026,03/06/2019 06:45:00 PM,273,0.88,32,32,Chicago Carriage Cab Corp
870027,03/06/2019 06:45:00 PM,240,0.6,8,8,Globe Taxi
870028,03/06/2019 06:45:00 PM,542,1.68,32,33,Chicago Carriage Cab Corp
870029,03/06/2019 06:45:00 PM,368,0.84,8,32,Chicago Carriage Cab Corp
870030,03/06/2019 06:45:00 PM,223,0.56,32,32,Chicago Carriage Cab Corp
870031,03/06/2019 06:45:00 PM,324,0.94,32,8,Chicago Carriage Cab Corp
870032,03/06/2019 06:45:00 PM,361,0.71,32,8,Sun Taxi
870033,03/06/2019 06:45:00 PM,300,1.2,32,32,City Service
870034,03/06/2019 06:45:00 PM,513,1.0,32,24,Medallion Leasin
870035,03/06/2019 06:45:00 PM,568,1.8,32,8,Medallion Leasin
870036,03/06/2019 06:45:00 PM,286,0.65,32,8,Flash Cab
870037,03/06/2019 06:45:00 PM,538,1.31,32,28,Sun Taxi
870038,03/06/2019 06:45:00 PM,215,0.52,8,8,Chicago Carriage Cab Corp
870039,03/06/2019 06:45:00 PM,305,0.89,28,32,Chicago Carriage Cab Corp
870040,03/06/2019 06:45:00 PM,517,1.97,32,33,Chicago Carriage Cab Corp
870041,03/06/2019 06:45:00 PM,475,0.9,8,8,Sun Taxi
870042,03/06/2019 06:45:00 PM,463,1.3,32,8,Flash Cab
870043,03/06/2019 06:45:00 PM,198,0.67,32,32,Chicago Carriage Cab Corp
870044,03/06/2019 06:45:00 PM,539,1.51,8,24,Chicago Carriage Cab Corp
870045,03/06/2019 06:45:00 PM,434,1.2,32,8,Medallion Leasin
870046,03/06/2019 06:45:00 PM,252,1.2,32,32,Sun Taxi
870047,03/06/2019 06:45:00 PM,534,1.28,32,28,Flash Cab
870048,03/06/2019 06:45:00 PM,2175,10.85,76,16,Chicago Carriage Cab Corp
870049,03/06/2019 06:45:00 PM,420,1.0,32,8,Medallion Leasin
870050,03/06/2019 06:45:00 PM,305,0.58,32,32,Sun Taxi
870051,03/06/2019 06:45:00 PM,384,0.83,8,8,Nova Taxi Affiliation Llc
870052,03/06/2019 06:45:00 PM,386,1.21,28,8,Patriot Taxi Dba Peace Taxi Associat
870053,03/06/2019 06:45:00 PM,240,0.6,32,32,Medallion Leasin
870054,03/06/2019 06:45:00 PM,354,0.91,32,28,Chicago Carriage Cab Corp
870055,03/06/2019 06:45:00 PM,340,0.95,32,32,City Service
870056,03/06/2019 06:45:00 PM,505,1.26,32,8,Sun Taxi
870057,03/06/2019 06:45:00 PM,221,0.69,32,8,Nova Taxi Affiliation Llc
870058,03/06/2019 06:45:00 PM,334,0.61,8,8,Chicago Carriage Cab Corp
870059,03/06/2019 06:45:00 PM,311,0.67,32,28,Flash Cab
870060,03/06/2019 06:45:00 PM,385,0.92,32,32,Chicago Carriage Cab Corp
870061,03/06/2019 06:45:00 PM,279,0.7,8,8,City Service
870062,03/06/2019 06:45:00 PM,213,0.54,32,32,Nova Taxi Affiliation Llc
870063,03/06/2019 06:45:00 PM,349,0.52,32,28,Flash Cab
870064,03/06/2019 06:45:00 PM,467,1.58,32,8,Sun Taxi
870065,03/06/2019 06:45:00 PM,420,0.8,8,8,Medallion Leasin
