,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
80000,01/08/2019 04:15:00 PM,520,0.86,32,28,City Service
80001,01/08/2019 04:15:00 PM,321,0.68,32,32,Sun Taxi
80002,01/08/2019 04:15:00 PM,331,0.8,32,32,Taxi Affiliation Service Yellow
80003,01/08/2019 04:15:00 PM,321,1.0,32,8,Blue Diamond
80004,01/08/2019 04:15:00 PM,379,0.71,32,32,City Service
80005,01/08/2019 04:15:00 PM,320,1.16,32,32,Chicago Carriage Cab Corp
80006,01/08/2019 04:15:00 PM,420,0.8,32,32,Globe Taxi
80007,01/08/2019 04:15:00 PM,496,1.2,8,8,Taxi Affiliation Service Yellow
80008,01/08/2019 04:15:00 PM,400,0.9,8,8,Checker Taxi
80009,01/08/2019 04:15:00 PM,563,1.0,8,28,Flash Cab
80010,01/08/2019 04:15:00 PM,421,1.1,28,28,Flash Cab
80011,01/08/2019 04:15:00 PM,334,0.7,32,28,Flash Cab
80012,01/08/2019 04:15:00 PM,513,1.1,28,32,Flash Cab
80013,01/08/2019 04:15:00 PM,511,1.3,32,32,Flash Cab
80014,01/08/2019 04:15:00 PM,471,0.8,8,32,Flash Cab
80015,01/08/2019 04:15:00 PM,595,1.4,32,32,Flash Cab
80016,01/08/2019 04:15:00 PM,430,1.6,28,33,Flash Cab
80017,01/08/2019 04:15:00 PM,395,0.9,8,8,Flash Cab
80018,01/08/2019 04:15:00 PM,396,1.3,56,64,Flash Cab
80019,01/08/2019 04:15:00 PM,341,0.9,32,28,Flash Cab
80020,01/08/2019 04:15:00 PM,397,0.9,32,28,Flash Cab
80021,01/08/2019 04:15:00 PM,476,1.4,8,8,Flash Cab
80022,01/08/2019 04:15:00 PM,234,0.6,32,32,Flash Cab
80023,01/08/2019 04:15:00 PM,437,1.6,8,8,Flash Cab
80024,01/08/2019 04:15:00 PM,409,0.8,8,8,Flash Cab
80025,01/08/2019 04:15:00 PM,237,0.6,3,3,Flash Cab
80026,01/08/2019 04:15:00 PM,303,0.7,32,32,Yellow Cab
80027,01/08/2019 04:15:00 PM,592,1.8,28,8,Flash Cab
80028,01/08/2019 04:15:00 PM,327,1.0,10,10,Flash Cab
80029,01/08/2019 04:30:00 PM,240,1.4,32,8,Taxi Affiliation Services
80030,01/08/2019 04:30:00 PM,420,1.0,32,8,Taxi Affiliation Services
80031,01/08/2019 04:30:00 PM,540,1.0,32,8,"Taxicab Insurance Agency, LLC"
