,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
910000,03/09/2019 12:15:00 AM,381,1.16,7,6,Sun Taxi
910001,03/09/2019 12:15:00 AM,361,1.49,21,15,Flash Cab
910002,03/09/2019 12:15:00 AM,240,0.9,8,8,Medallion Leasin
910003,03/09/2019 12:15:00 AM,319,1.34,28,31,Flash Cab
910004,03/09/2019 12:15:00 AM,240,1.0,3,3,Sun Taxi
910005,03/09/2019 12:15:00 AM,345,1.7,28,8,Sun Taxi
910006,03/09/2019 12:15:00 AM,588,1.87,24,24,Flash Cab
910007,03/09/2019 12:15:00 AM,436,1.47,8,28,Chicago Carriage Cab Corp
910008,03/09/2019 12:15:00 AM,290,1.04,8,28,Chicago Carriage Cab Corp
910009,03/09/2019 12:15:00 AM,231,0.75,8,8,City Service
910010,03/09/2019 12:15:00 AM,240,0.8,8,8,Globe Taxi
910011,03/09/2019 12:15:00 AM,222,0.83,8,8,Flash Cab
910012,03/09/2019 12:15:00 AM,420,1.0,8,8,Sun Taxi
910013,03/09/2019 12:15:00 AM,537,1.6,28,8,Sun Taxi
910014,03/09/2019 12:15:00 AM,240,1.0,3,3,Medallion Leasin
910015,03/09/2019 12:15:00 AM,238,0.98,8,8,City Service
910016,03/09/2019 12:15:00 AM,253,0.83,8,32,Flash Cab
910017,03/09/2019 12:15:00 AM,420,1.3,8,24,Medallion Leasin
910018,03/09/2019 12:15:00 AM,240,0.9,8,8,Medallion Leasin
910019,03/09/2019 12:15:00 AM,476,1.32,8,28,Flash Cab
910020,03/09/2019 12:15:00 AM,374,1.53,6,6,Sun Taxi
910021,03/09/2019 12:15:00 AM,243,0.66,8,8,Flash Cab
910022,03/09/2019 12:15:00 AM,476,1.6,8,32,Medallion Leasin
910023,03/09/2019 12:15:00 AM,240,0.8,8,32,Globe Taxi
910024,03/09/2019 12:15:00 AM,497,1.21,32,8,Flash Cab
910025,03/09/2019 12:15:00 AM,448,0.69,8,32,City Service
910026,03/09/2019 12:15:00 AM,198,0.57,8,8,Chicago Carriage Cab Corp
910027,03/09/2019 12:15:00 AM,502,1.08,8,8,Flash Cab
910028,03/09/2019 12:15:00 AM,439,1.15,8,8,Flash Cab
910029,03/09/2019 12:15:00 AM,444,1.5,8,8,Flash Cab
910030,03/09/2019 12:15:00 AM,307,0.98,8,8,Flash Cab
910031,03/09/2019 12:15:00 AM,410,1.8,8,7,Flash Cab
910032,03/09/2019 12:15:00 AM,267,0.6,8,8,Flash Cab
910033,03/09/2019 12:15:00 AM,210,0.8,6,7,Flash Cab
910034,03/09/2019 12:15:00 AM,489,1.7,8,7,Flash Cab
910035,03/09/2019 12:15:00 AM,288,1.0,24,24,Flash Cab
910036,03/09/2019 12:15:00 AM,285,0.8,8,8,Flash Cab
910037,03/09/2019 12:15:00 AM,261,1.3,3,77,Flash Cab
910038,03/09/2019 12:30:00 AM,240,0.9,3,77,Taxi Affiliation Services
910039,03/09/2019 12:30:00 AM,360,1.5,7,8,Taxi Affiliation Services
910040,03/09/2019 12:30:00 AM,240,0.6,6,6,Star North Management LLC
910041,03/09/2019 12:30:00 AM,480,1.8,8,7,Star North Management LLC
910042,03/09/2019 12:30:00 AM,360,1.3,28,28,Taxi Affiliation Services
910043,03/09/2019 12:30:00 AM,360,1.2,8,8,Choice Taxi Association
910044,03/09/2019 12:30:00 AM,540,1.7,77,77,Taxi Affiliation Services
910045,03/09/2019 12:30:00 AM,480,1.3,3,6,Taxi Affiliation Services
910046,03/09/2019 12:30:00 AM,480,1.7,6,3,Choice Taxi Association
910047,03/09/2019 12:30:00 AM,300,0.8,32,32,Taxi Affiliation Services
910048,03/09/2019 12:30:00 AM,240,0.8,8,32,Taxi Affiliation Services
910049,03/09/2019 12:30:00 AM,300,1.0,8,32,Star North Management LLC
910050,03/09/2019 12:30:00 AM,300,1.0,6,6,Star North Management LLC
910051,03/09/2019 12:30:00 AM,360,0.8,8,8,KOAM Taxi Association
910052,03/09/2019 12:30:00 AM,540,1.5,8,8,Star North Management LLC
910053,03/09/2019 12:30:00 AM,540,1.1,8,32,Choice Taxi Association
910054,03/09/2019 12:30:00 AM,240,0.7,8,8,Top Cab Affiliation
910055,03/09/2019 12:30:00 AM,360,1.2,32,8,Taxi Affiliation Services
910056,03/09/2019 12:30:00 AM,480,1.3,8,8,Taxi Affiliation Services
910057,03/09/2019 12:30:00 AM,240,0.6,8,8,Chicago Independents
910058,03/09/2019 12:30:00 AM,300,1.3,7,7,Taxi Affiliation Services
910059,03/09/2019 12:30:00 AM,480,1.1,32,32,Taxi Affiliation Services
910060,03/09/2019 12:30:00 AM,420,1.4,8,28,Taxi Affiliation Services
910061,03/09/2019 12:30:00 AM,300,1.6,24,24,Taxi Affiliation Services
910062,03/09/2019 12:30:00 AM,300,1.2,8,8,1085 - 72312 N and W Cab Co
910063,03/09/2019 12:30:00 AM,300,1.7,32,24,Star North Management LLC
910064,03/09/2019 12:30:00 AM,300,0.8,8,32,Taxi Affiliation Services
910065,03/09/2019 12:30:00 AM,540,1.4,8,32,KOAM Taxi Association
910066,03/09/2019 12:30:00 AM,300,0.9,8,8,Star North Management LLC
910067,03/09/2019 12:30:00 AM,360,1.2,8,8,Taxi Affiliation Services
910068,03/09/2019 12:30:00 AM,420,1.9,11,16,Star North Management LLC
910069,03/09/2019 12:30:00 AM,360,1.5,8,8,Taxi Affiliation Services
910070,03/09/2019 12:30:00 AM,240,0.6,35,35,Taxi Affiliation Services
910071,03/09/2019 12:30:00 AM,300,0.6,8,32,Taxi Affiliation Services
910072,03/09/2019 12:30:00 AM,240,0.7,8,8,Taxi Affiliation Services
910073,03/09/2019 12:30:00 AM,240,0.8,8,8,Star North Management LLC
910074,03/09/2019 12:30:00 AM,420,0.7,8,8,Star North Management LLC
910075,03/09/2019 12:30:00 AM,540,1.25,8,8,Flash Cab
910076,03/09/2019 12:30:00 AM,360,1.5,7,7,Medallion Leasin
910077,03/09/2019 12:30:00 AM,416,1.0,7,7,Blue Diamond
910078,03/09/2019 12:30:00 AM,359,0.8,8,8,Blue Diamond
910079,03/09/2019 12:30:00 AM,401,1.28,28,24,Taxi Affiliation Service Yellow
910080,03/09/2019 12:30:00 AM,473,1.92,7,8,Flash Cab
910081,03/09/2019 12:30:00 AM,414,1.19,28,8,City Service
910082,03/09/2019 12:30:00 AM,381,0.99,8,28,Chicago Carriage Cab Corp
910083,03/09/2019 12:30:00 AM,498,1.7,24,8,Flash Cab
910084,03/09/2019 12:30:00 AM,477,1.18,8,8,Chicago Carriage Cab Corp
910085,03/09/2019 12:30:00 AM,383,1.61,8,8,City Service
910086,03/09/2019 12:30:00 AM,482,1.63,8,8,Patriot Taxi Dba Peace Taxi Associat
