,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
930000,03/11/2019 10:30:00 AM,305,1.1,4,5,Flash Cab
930001,03/11/2019 10:30:00 AM,540,0.9,32,32,Medallion Leasin
930002,03/11/2019 10:30:00 AM,246,0.75,28,8,Chicago Carriage Cab Corp
930003,03/11/2019 10:30:00 AM,238,0.6,32,32,24 Seven Taxi
930004,03/11/2019 10:30:00 AM,362,0.81,28,32,Chicago Carriage Cab Corp
930005,03/11/2019 10:30:00 AM,335,0.96,32,28,Chicago Carriage Cab Corp
930006,03/11/2019 10:30:00 AM,427,1.17,32,32,City Service
930007,03/11/2019 10:30:00 AM,186,0.6,32,28,Medallion Leasin
930008,03/11/2019 10:30:00 AM,295,0.72,8,8,Chicago Carriage Cab Corp
930009,03/11/2019 10:30:00 AM,420,0.7,32,8,Medallion Leasin
930010,03/11/2019 10:30:00 AM,306,0.94,28,28,Patriot Taxi Dba Peace Taxi Associat
930011,03/11/2019 10:30:00 AM,209,0.6,32,8,City Service
930012,03/11/2019 10:30:00 AM,420,1.2,32,8,Medallion Leasin
930013,03/11/2019 10:30:00 AM,257,0.62,28,32,Chicago Carriage Cab Corp
930014,03/11/2019 10:30:00 AM,449,1.16,32,8,Flash Cab
930015,03/11/2019 10:30:00 AM,309,1.31,8,8,Nova Taxi Affiliation Llc
930016,03/11/2019 10:30:00 AM,205,0.63,8,8,Chicago Carriage Cab Corp
930017,03/11/2019 10:30:00 AM,421,1.23,32,8,Sun Taxi
930018,03/11/2019 10:30:00 AM,389,1.43,8,32,Chicago Carriage Cab Corp
930019,03/11/2019 10:30:00 AM,282,0.71,8,8,Sun Taxi
930020,03/11/2019 10:30:00 AM,562,1.4,32,8,Medallion Leasin
930021,03/11/2019 10:30:00 AM,341,0.7,8,32,City Service
930022,03/11/2019 10:30:00 AM,596,1.4,8,32,Medallion Leasin
930023,03/11/2019 10:30:00 AM,240,0.7,28,8,Medallion Leasin
930024,03/11/2019 10:30:00 AM,365,1.32,32,32,Chicago Carriage Cab Corp
930025,03/11/2019 10:30:00 AM,397,0.81,28,28,Chicago Carriage Cab Corp
930026,03/11/2019 10:30:00 AM,286,0.71,28,28,Chicago Carriage Cab Corp
930027,03/11/2019 10:30:00 AM,357,1.62,32,33,Chicago Carriage Cab Corp
930028,03/11/2019 10:30:00 AM,540,1.7,8,28,Metro Jet Taxi A
930029,03/11/2019 10:30:00 AM,391,1.12,8,32,Patriot Taxi Dba Peace Taxi Associat
930030,03/11/2019 10:30:00 AM,240,0.8,32,8,Medallion Leasin
930031,03/11/2019 10:30:00 AM,205,0.71,8,8,Chicago Carriage Cab Corp
930032,03/11/2019 10:30:00 AM,300,0.9,8,28,Medallion Leasin
930033,03/11/2019 10:30:00 AM,335,1.13,1,77,Flash Cab
