,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
950000,03/12/2019 03:15:00 PM,410,0.8,8,8,Flash Cab
950001,03/12/2019 03:30:00 PM,480,1.2,32,8,Star North Management LLC
950002,03/12/2019 03:30:00 PM,540,1.5,32,8,Star North Management LLC
950003,03/12/2019 03:30:00 PM,360,1.1,32,32,Taxi Affiliation Services
950004,03/12/2019 03:30:00 PM,480,1.2,32,28,Taxi Affiliation Services
950005,03/12/2019 03:30:00 PM,300,0.9,28,8,Top Cab Affiliation
950006,03/12/2019 03:30:00 PM,300,0.8,32,32,Star North Management LLC
950007,03/12/2019 03:30:00 PM,360,0.6,3,3,Taxi Affiliation Services
950008,03/12/2019 03:30:00 PM,360,1.3,8,32,Choice Taxi Association
950009,03/12/2019 03:30:00 PM,420,1.2,8,28,Star North Management LLC
950010,03/12/2019 03:30:00 PM,420,1.2,32,8,Taxi Affiliation Services
950011,03/12/2019 03:30:00 PM,480,1.1,32,8,Taxi Affiliation Services
950012,03/12/2019 03:30:00 PM,300,1.2,32,8,"Taxicab Insurance Agency, LLC"
950013,03/12/2019 03:30:00 PM,480,0.9,32,8,Chicago Medallion Management
950014,03/12/2019 03:30:00 PM,2160,0.9,76,8,Taxi Affiliation Services
950015,03/12/2019 03:30:00 PM,480,1.5,32,8,Choice Taxi Association
950016,03/12/2019 03:30:00 PM,240,0.9,8,8,Taxi Affiliation Services
950017,03/12/2019 03:30:00 PM,1860,10.4,13,32,Taxi Affiliation Services
950018,03/12/2019 03:30:00 PM,240,0.9,41,41,Taxi Affiliation Services
950019,03/12/2019 03:30:00 PM,360,0.9,8,8,Star North Management LLC
950020,03/12/2019 03:30:00 PM,300,0.7,28,32,Choice Taxi Association
950021,03/12/2019 03:30:00 PM,360,1.1,41,41,Taxi Affiliation Services
950022,03/12/2019 03:30:00 PM,300,0.8,32,32,Taxi Affiliation Services
950023,03/12/2019 03:30:00 PM,420,1.1,32,8,Top Cab Affiliation
950024,03/12/2019 03:30:00 PM,420,1.1,32,8,Taxi Affiliation Services
950025,03/12/2019 03:30:00 PM,300,0.8,32,8,Choice Taxi Association
950026,03/12/2019 03:30:00 PM,360,1.6,8,32,Choice Taxi Association
950027,03/12/2019 03:30:00 PM,360,1.9,3,77,Taxi Affiliation Services
950028,03/12/2019 03:30:00 PM,240,0.7,8,7,Choice Taxi Association
950029,03/12/2019 03:30:00 PM,540,0.8,8,8,Star North Management LLC
950030,03/12/2019 03:30:00 PM,360,0.8,32,32,"Taxicab Insurance Agency, LLC"
950031,03/12/2019 03:30:00 PM,420,1.1,8,32,"Taxicab Insurance Agency, LLC"
950032,03/12/2019 03:30:00 PM,360,1.2,32,8,Star North Management LLC
950033,03/12/2019 03:30:00 PM,300,0.9,32,28,Choice Taxi Association
950034,03/12/2019 03:30:00 PM,360,0.6,32,32,Chicago Medallion Management
950035,03/12/2019 03:30:00 PM,300,0.6,32,32,Chicago Medallion Management
950036,03/12/2019 03:30:00 PM,240,0.8,8,8,Chicago Medallion Management
950037,03/12/2019 03:30:00 PM,240,0.9,28,32,Taxi Affiliation Services
950038,03/12/2019 03:30:00 PM,300,1.1,32,32,Choice Taxi Association
950039,03/12/2019 03:30:00 PM,480,1.3,28,32,Taxi Affiliation Services
950040,03/12/2019 03:30:00 PM,300,1.1,8,8,Star North Management LLC
950041,03/12/2019 03:30:00 PM,360,1.2,28,8,"Taxicab Insurance Agency, LLC"
950042,03/12/2019 03:30:00 PM,420,0.9,8,32,Star North Management LLC
950043,03/12/2019 03:30:00 PM,540,1.4,32,33,KOAM Taxi Association
950044,03/12/2019 03:30:00 PM,2100,1.0,76,32,Blue Ribbon Taxi Association Inc.
950045,03/12/2019 03:30:00 PM,480,1.5,32,33,Star North Management LLC
950046,03/12/2019 03:30:00 PM,2340,1.1,76,32,Taxi Affiliation Services
950047,03/12/2019 03:30:00 PM,240,0.7,8,8,Taxi Affiliation Services
950048,03/12/2019 03:30:00 PM,480,1.1,32,32,Taxi Affiliation Services
950049,03/12/2019 03:30:00 PM,540,1.2,24,22,Taxi Affiliation Services
950050,03/12/2019 03:30:00 PM,300,1.5,28,32,Star North Management LLC
950051,03/12/2019 03:30:00 PM,360,0.9,32,8,Taxi Affiliation Services
950052,03/12/2019 03:30:00 PM,480,0.9,8,8,Taxi Affiliation Services
