,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
970000,03/13/2019 05:45:00 PM,480,1.1,8,8,KOAM Taxi Association
970001,03/13/2019 05:45:00 PM,540,1.2,32,8,Taxi Affiliation Services
970002,03/13/2019 05:45:00 PM,240,0.9,28,28,Star North Management LLC
970003,03/13/2019 05:45:00 PM,360,0.7,8,8,Taxi Affiliation Services
970004,03/13/2019 05:45:00 PM,420,1.0,32,8,Top Cab Affiliation
970005,03/13/2019 05:45:00 PM,540,1.5,8,28,Chicago Medallion Management
970006,03/13/2019 05:45:00 PM,480,0.8,32,28,Taxi Affiliation Services
970007,03/13/2019 05:45:00 PM,540,1.4,8,32,Taxi Affiliation Services
970008,03/13/2019 05:45:00 PM,420,0.9,8,32,Star North Management LLC
970009,03/13/2019 05:45:00 PM,480,1.3,32,33,Taxi Affiliation Services
970010,03/13/2019 05:45:00 PM,480,0.9,32,8,Star North Management LLC
970011,03/13/2019 05:45:00 PM,480,0.8,32,28,Taxi Affiliation Services
970012,03/13/2019 05:45:00 PM,360,0.9,28,32,Taxi Affiliation Services
970013,03/13/2019 05:45:00 PM,540,1.2,8,32,Taxi Affiliation Services
970014,03/13/2019 05:45:00 PM,480,1.1,32,32,Choice Taxi Association
970015,03/13/2019 05:45:00 PM,420,1.3,6,6,Taxi Affiliation Services
970016,03/13/2019 05:45:00 PM,540,0.9,8,7,"Taxicab Insurance Agency, LLC"
970017,03/13/2019 05:45:00 PM,540,0.7,8,32,Taxi Affiliation Services
970018,03/13/2019 05:45:00 PM,540,1.0,32,32,Star North Management LLC
970019,03/13/2019 05:45:00 PM,360,0.9,28,32,Taxi Affiliation Services
970020,03/13/2019 05:45:00 PM,540,1.3,32,28,Star North Management LLC
970021,03/13/2019 05:45:00 PM,360,1.0,8,8,Taxi Affiliation Services
970022,03/13/2019 05:45:00 PM,480,0.7,28,32,Taxi Affiliation Services
970023,03/13/2019 05:45:00 PM,420,0.6,32,32,Taxi Affiliation Services
970024,03/13/2019 05:45:00 PM,360,1.1,8,8,Choice Taxi Association
970025,03/13/2019 05:45:00 PM,300,0.6,8,8,Star North Management LLC
970026,03/13/2019 05:45:00 PM,300,1.1,32,8,KOAM Taxi Association
970027,03/13/2019 05:45:00 PM,369,0.71,6,6,Checker Taxi Affiliation
970028,03/13/2019 05:45:00 PM,234,0.73,32,28,Taxi Affiliation Service Yellow
970029,03/13/2019 05:45:00 PM,416,0.83,8,32,City Service
970030,03/13/2019 05:45:00 PM,339,0.65,32,8,Blue Diamond
970031,03/13/2019 05:45:00 PM,480,1.1,32,32,Sun Taxi
